code	sel	name	which_page	sort	display_type	image	image_prop	banner_image	banner_text	link_type	url	tab	page	search	selector
1	left	Books	all 	01	image	books.gif	border=0			internal	subcat mv_arg=books				
2	left	About us	all 	00	image	about.gif	border=0			internal	about 				
3	left	Bikes	all 	02	image	bikes.gif	border=0			simple		products			category=bikes
4	left	Sandals	all 	02	image	sandals.gif	border=0			simple	 	products			category=sandals
5	left	Shoes	all 	02	image	shoes.gif	border=0			simple		products			category=shoes
6	left	Parts	all 	03	image	bikeparts.gif	border=0			internal	subcat mv_arg=parts				
7	top	Home	all 		image	home.gif	border=0			internal	index 				
8	top	Shopping cart	all 		image	shoppingcart.gif	border=0			internal	ord/basket 				
9	top	Customer Service	all 	01	image	customer.gif	border=0			internal	account 				
10	top	Help with shopping	all 	01	image	help.gif	border=0			internal	help 				
11	top	Contact us	all 	02	image	contactus.gif	border=0			internal	contact 				
