code	type	width	height	field	db	name	outboard	options	attribute	label	help	lookup	filter	help_url
inventory::stock_message	select							In stock, Ships in 3-5 days, Ships in 4-6 weeks, Special order						
minimate::super	select							0=No, 1=Yes						
mv_metadata::code	text	20								Table::Column	Table::column to be operated on			
mv_metadata::db	combo				2ndDayAir			tables				Exceed		
mv_metadata::db	combo							tables					nullselect	
mv_metadata::filter	multiple		5					filesafe=Safe for file name,    uc=Upper case,    nullselect=First non-null (combo box),    null_to_space=Translate null to space,    null_to_comma=Translate null to comma,    lc=Lower case,    digits_dot=Decimal number (not negative),    backslash=Remove backslashes,    namecase=Name case,    name=Turn LAST,FIRST into FIRST LAST,    digits=Digits only,    word=Word chars only (A-z0-9_),    unix=DOS to UNIX,    dos=UNIX to DOS,    mac=UNIX to MAC,    gate=Only allow if scratch set,    no_white=No whitespace,    strip=Strip leading/trailing whitespace,    sql=Escape single quotes (SQL),    text2html=Simple text to HTML,    urlencode=URL encode (%20, etc),    pagefile=Safe for Minivend page name,    entities=HTML entities (&amp; -> &amp;amp;)					null_to_space	
mv_metadata::height	text	4											digits	
mv_metadata::help	textarea	70	4											
mv_metadata::lookup	combo							columns				columns	nullselect	
mv_metadata::lookup	text	20												
mv_metadata::type	select							select=Select box, text=Text entry*,textarea=Textarea,combo=Combo Select, radio=Radio box, radio_nbsp=Radio (nbsp), checkbox=Check box, check_nbsp=Checkbox (nbsp), hidden_ text=Hidden (show text), multiple=Multiple Select		Widget type			filesafe	
mv_metadata::width	text	4											digits	
pricing::price_group	combo				pricing					Discount group		price_group	nullselect	
pricing	text						2							
products::artist	text	30								Artist				
products::category	combo				products					Category	Enter in box for new category.	category	nullselect	
products::color	textarea	50	5											
products::comment	textarea	70	4							Long Description				
products::description	text	60								Short Description				
products::featured	select							=none, front=Front page, cart=Basket page, receipt=Receipt						
products::nontaxable	select							=Yes, 1=No		Taxable?				
products::price	text	12								Product Price			digits_dot	
products::related	multiple	5		sku	products					Related items</B><BR><FONT SIZE=1>(space separated SKUs)				
products::size	textarea	50	5											
products::sku										SKU/Item code				
products	text			description										
products::title	text	30								Title			namecase	
products::weight	text	4								Weight in pounds			digits_dot	
shipping	text			description										
userdb::fname	text	30								First name				
userdb::lname	text	30								Last Name				
userdb	text			lname,fname										
variable::Variable::MYSQL	select							1=Yes, 0=No*						
