q2	price_group	sku	q5	q10	q25	q100	XL	S	red
400		00-340	200	100	50	20			
400	2	22-201	200	100	50	20			
1000		00-0011	1000	1000	500	250			
400	2	22-002	200	100	50	20			
50		00-0011a	45	40	35	30			
400		00-403	200	100	50	20			
400	9	98-102	200	100	50	20			
400		00-2002	200	100	50	20			
100	9	99-104	95	80					
400		00-343	200	100	50	20			
400	9	99-301	200	100	50	20			
400		00-0010	200	100	50	20			
800	1	19-204	500	400	300	250			
400	2	22-003	200	100	50	20			
400	2	21-221	200	100	50	20			
10	9	99-102	10	9	8	7	1	-0.5	0.75
400	3	34-101	200	100	50	20			
400		00-404	200	100	50	20			
400	0	00-341	200	100	50	20			
400	9	99-322	200	100	50	20			
400	2	22-200	200	100	50	20			
100	9	99-105							
400		00-344	200	100	50	20			
800	1	19-203	500	400	300	250			
400	0	00-402	200	100	50	20			
400	9	98-101	200	100	50	20			
400		00-2001	200	100	50	20			
100	9	99-103	95	80					
300		00-342	200	100	50	20			
