code	sel	name	which_page	sort	display_type	image	image_prop	banner_image	banner_text	link_type	url	tab	page	search	selector	link_template
1	A1	Picks & Hatchets			name					simple		products			category=Picks & Hatchets	
2	A6	Paintbrushes								simple					category=Paintbrushes	
3	A6	Rollers								simple					category=Rollers	
4	A5	Toolboxes								simple					category=Toolboxes	
5	A2	Rulers								simple					category=Rulers	
6	A1	Brushes			name					simple		products			category=Brushes	
7	A2	Tape Measures								simple					category=Tape Measures	
8	A1	Hammers			name				Hand Planes	simple		products			category=Hammers	
9	A1	Hand Planes								simple					category=Hand Planes	
10	A3	Ladders								simple					category=Ladders	
11	A1	Shovels								simple					category=Shovels	
12	A1	Shears								simple					category=Shears	
13	A4	Eye Protection								simple					category=Eye Protection	
14	A5	Tool Belts								simple					category=Tool Belts	
15	A2	Squares								simple					category=Squares	
16	A1	Wrenches								simple					category=Wrenches	
17	A1	Pliers								simple					category=Pliers	
18	A6	Sandpaper								simple					category=Sandpaper	
19	A6	Putty Knives								simple					category=Putty Knives	
20	A1	Hand Saws			name					simple		products			category=Hand Saws	
21	A4	Breathing Protection								simple					category=Breathing Protection	
22	A2	Levels								simple					category=Levels	
23	A3	Step Stools								simple					category=Step Stools	
24	A7	Nails								simple					category=Nails	
25	A8	Gift Certificate								simple					category=Gift Certificate	
