sku	quantity	stock_message	account	cogs_account
os28108	100			
os28009	100			
os28044	100			
os28073	100			
os28074	100			
os28075	100			
os28080	100			
os28072	100			
os28076	100			
os28113	100			
os28065	100			
os28062	100			
os28110	100			
os28111	100			
os28112	100			
os28109	100			
os28064	100			
os28086	100			
os28066	100			
os28084	100			
os28008	100			
os28085	100			
os28068a	100			
os28068b	100			
os28077	100			
os28070	100			
os28069	100			
os28005	100			
os28006	100			
os28007	100			
os28011	100			
os28004	100			
os28087	100			
os28081	100			
os29000	100			
os28082	100			
os28057a	100			
os28057b	100			
os28057c	100			
