q2	price_group	sku	q5	q10	q25	q100	XL	S	red
	1	os28108	2.5	2					
	1	os28009	5	4.25					
	1	os28044	11	10					
	1	os28073	16	14					
	1	os28074	16	24					
	1	os28075	9	8.5					
	1	os28080	13	10					
	1	os28072	12	11					
	1	os28076	14	13					
	1	os28113	11.5	10					
	1	os28065	13	12					
	1	os28062	17	15					
	1	os28110	11	10					
	1	os28111	14	13					
	1	os28112	9	8					
	1	os28109	17	16					
	1	os28064	15	14					
	1	os28086	8	7					
	1	os28066	11	10					
	1	os28084	14	13					
	1	os28008	24	23					
	1	os28085	29	28					
	1	os28068a	3	2					
	1	os28068b	9	8					
	1	os28077	29	28					
	1	os28070	29	28					
	1	os28069	34	33					
	1	os28005	5	4					
	1	os28006	24	23					
	1	os28007	9	8					
	1	os28011	9	8					
	1	os28004	15	14					
	1	os28087	7	6					
	1	os28081	5	4					
	1	os29000	21.50	20.50					
	1	os28082	16.50	15.50					
	1	os28057a	11.00	10.00					
	1	os28057b	9.00	8.00					
	1	os28057c	10.00	9.00					
