code	en_US	de_DE	fr_FR	nl_NL
About Us	About Us			Over ons
Account Maintenance	Account Maintenance			Rekeningonderhoud
Account Management Functions	Account Management Functions			Functies rekeningonderhoud
Additional Shipping Addresses	Additional Shipping Addresses			Additionele verzendadressen
Address	Address			Adres
Advanced Search	Advanced Search			Uitgebreid zoeken
April		April	Avril	April
August		August	Aout	Augustus
Below are our automated customer service options. If you need to talk to someone please %sclick here%s.	Below are our automated customer service options. If you need to talk to someone please %sclick here%s.			Onderstaand vindt U onze geautomatiseerde klantenservice mogelijkheden. Wilt U een medewerker spreken, %sklik dan hier%s.
Billing Address	Billing Address			Verzendadres
Buy it Now!	Buy it Now!			Koop nu!
CANCEL_PAR1	Please confirm your request to stop shopping by clicking the button below. Allitems will be cleared from your shopping cart, your name and address informationwill be expunged, and all saved settings from your visit will disappear.			Bevestig alstublieft uw verzoek om met winkelen te stoppen door op onderstaande knop te klikken. Als U dat doet worden alle producten uit uw winkelwagen verwijderd, uw naam en adresinformatie worden gewist en alle bewaarde instellingen tijdens uw bezoek zullen verdwijnen.
Canada	Canada			Canada
Change Password	Change Password			Wijzigen wachtwoord
Change password	Change password			Wijzigen wachtwoord
Change your password	Change your password			Wijzig uw wachtwoord
City	City			Plaats
Clear&nbsp;cart	Clear&nbsp;cart			Wis&nbsp;winkelwagen
Clear&nbsp;name/address	Clear&nbsp;name/address			Wis&nbsp;naam/adres
Comment on this product.	Comment on this product.			Geef uw mening over dit product.
Company	Company			Bedrijf
Contact Us	Contact Us			Neem contact met ons op
Country	Country			Land
Customer Satisfaction Survey	Customer Satisfaction Survey			Klantentevredenheidsonderzoek
Customer Service	Customer Service			Klantenservice
Daytime Phone	Daytime Phone			Telefoon overdag
December		Dezember	D&eacute;cembre	December
Email	Email			
Email Address	Email Address			Emailadres
Evening Phone	Evening Phone			Telefoon avond
Fax	Fax			Fax
February		Februar	F&eacute;vrier	Februari
First	First			Eerste
First Name	First Name			Voornaam
Help	Help			Help
INDEX_PAR1	    Welcome to the <b>Interchange</b> Foundation Store! This     site is intended to get you started building    your own e-business site. Replace the stock graphics, products,     and categories in this store to begin building your custom site.			Welkom bij de <b>Interchange</b> Foundation Store! Deze site is bedoeld om U op weg te helpen met het bouwen van uw eigen e-business site. Om te starten met uw eigen site vervangt U simpelweg de standaard afbeeldingen, producten en categorieen.
If different than above	If different than above			Indien anders dan hierboven
