code	type	width	height	field	db	name	outboard	options	attribute	label	help	lookup	filter	help_url	pre_filter	lookup_exclude	prepend	append	display_filter
affiliate::timeout	text	8								Timeout delay	(in seconds, 0 to disable)								
optadd::mv_metadata::options	textarea	20	8							Options	Options in the format:<P><blockquote>value=label*</blockquote>		option_format						
mv_metadata			200	codetypeoptions															1
variable::code	text									Variable name									
products::title	text	30								Title			namecase						
NextDayAir			200			Air Shipping Rates													1
metaconfig::mv_metadata::height	text	4								Height	SIZE for SELECT<BR>ROWS for TEXTAREA<BR>		digits						
userdb::b_lname	text	40								Billing Last Name									
affiliate::join_date	date									Join date									
modular_create::options::sku	text	20									Unique SKU								
2ndDayAir			200			Air Shipping Rates													1
variable::Variable::SECURE_ENABLE	yesno									Enable Secure URL?									
variable::Variable::POSTAL_ACCEPTED	select							=No,1=Yes		Accept postal orders?									
variable::Variable::STYLE	select							foundation=Foundation		Theme									
merchandising::start_date	date									Start date			date_change						
mv_metadata::outboard	text	30								Directory	Select directory for image listing widget.								
userdb::b_state	text	10								Billing State									
dbconfig::mv_metadata::lookup	text	20																	
dbconfig::mv_metadata::help_url	text	70	4							Help URL	links below help text								
inventory			25	sku,quantity				sku=Quantity infoquantitystock_message=Accounting infoaccountcogs_account											
mv_metadata::lookup_exclude	text	20								Lookup exclude	<B>ADVANCED</B>: regular expression that excludes certain keys from the lookup.								
metaconfig::mv_metadata::help_url	text	70	4							Help URL	A URL which will provide more help								
modular_create::options				codeo_masterskuo_groupdescription(30)price				codeo_masterskuo_groupphantomo_default=Attributespricedescription											
modular_create::options::price	text	12								Price	Price of this option.								
userdb::b_zip	text	10								Billing Postcode									
cat::link_type	select							none=No link, external=External link (http://...), internal=Interchange page, simple=Simple search, complex=Complex search											
products::gift_cert	select							=No,1=Yes		Gift certificate handling?	Yes if price should appear to be quantity								
icmenu::inactive	yesno																		
modular_create::options::o_group	select				options			=none		Group		o_group							
mv_metadata::field	move_combo	20	10					columns::		Field for lookup	Can be two comma separated fields, in which case second is used as the label text. Both must be in the same table.								
options::o_matrix	select							=Non-matrix,!=Matrix options		Matrix options	Matrix options allow you to maintain multiple option sets withinventory on each combination.								
products::artist	text	30								Artist									
custview::userdb::mail_list	display							offer=Special Offers, newsletter=Newsletter, alert=Alerts and Recalls, upgrade=Upgrades					null_to_space						
Ground			200			Ground Shipping Rates													1
userdb::fax_order	select							=Credit Card*, 1=Fax or Mail, 2=Purchase order, 3=COD		Payment method									
optmaster::options::o_matrix	select							=Non-matrix,1=Matrix options		Matrix?									
metaconfig::mv_metadata::append	textarea	60	5							Append HTML	<SMALL>HTML to be appended to the widget.Will substitute in the macros _UI_TABLE_, _UI_COLUMN_,_UI_KEY, and _UI_VALUE_, and will resolve relative linkswith absolute links.</SMALL>								
metaconfig::mv_metadata::code	text	30								Table::Column	Table::Column to be operated on.								
merchandising::upsell_to	text	50			products					Cross-sell SKUs								&nbsp;&nbsp;<A HREF="admin/sku_selector?caller=item_up&table=_UI_TABLE_&col=_UI_COLUMN_&item_id=_UI_KEY_&value=_UI_URL_VALUE_">select...</A>	
variable::Variable::DOCROOT	text									Document root	This is the directory where your HTML originates. It should match the DocumentRootof your HTTP server.			http://www.apache.org/docs/mod/core.html#documentroot					
variable::Variable::PO_ACCEPTED	select							0=No, 1=Yes											
variant::options::o_width	text	4								Width of widget									
variant::options::price	text	12								Price	Price of this variant.								
userdb::dealer	radio_nbsp							=No,1=Yes		Dealer									
affiliate::name	text	50								Affiliate Name									
products::description	text	60								Short Description									
userdb::b_address2	text	40								 									
