code	sel	name	which_page	sort	display_type	image	image_prop	banner_image	banner_text	link_type	url	tab	page	search	selector	link_template
00009	9	DVD		05	name					simple					category=DVD	
00008	2	CPU chips		05	name					simple					category=CPU chips	
00012	3	Keyboards		05	name					simple					category=Keyboards	
00007	9	CDROM		05	name					simple					category=CDROM	
00011	9	Hard drives		05	name					simple					category=Hard drives	
00006	9	CD-RW		05	name					simple					category=CD-RW	
00010	9	Floppy		05	name					simple					category=Floppy	
00005	2	Cases		05	name					simple					category=Cases	
00004	9	Backup devices		05	name					simple					category=Backup devices	
00003	10	Athlon -- pre-configured		05	name					simple					category=Athlon -- pre-configured	
00002	10	Athlon		05	name					simple					category=Athlon	
