code	o_master	sku	o_group	o_sort	phantom	o_enable	o_matrix	o_modular	o_default	o_label	o_value	o_widget	o_footer	o_header	o_height	o_width	description	price	wholesale	differential	weight	volume	mv_shipmode	
1002	999000	7000015	A	01				0	1						0	0	ATX Mid Tower-Grey (3)5.25 (2)3.5 & (1)3.5 Hidden	0.00						
1003	999000	7000043	A	02				0							0	0	Enlight ATX Tower Case (4) 5.25 & (2)3.5	29						
1004	999000	7000063	A	03				0							0	0	Enlight ATX Desktop Case (2)5.25 & (2)3.5	35						
1005	999000	7000095	A	04				0							0	0	Super Tower Case (6)5.25 & (3)3.5	75						
1006	999000	7000033	A	47				0							0	0	Micro ATX Tower - Smokey Grey	0.00						
1007	999000	7000032	A	48				0							0	0	Micro ATX Tower - Rage Red	0.00						
1008	999000	7000030	A	49				0							0	0	Micro ATX Tower - Honey Yellow	0.00						
1009	999000	7000031	A	50				0							0	0	Micro ATX Tower - Moody Blue	0.00						
100015	00010	999001	B	00	1	1		0							0	0	Select motherboard							
1011	999001	7000017	B	10				0	1						0	0	Explorer (1 ISA,1 PCI,3 DIMMs,2 USB,56K,10/100NIC)	0.00						
1012	999001	7000026	B	28				0							0	0	Explorer TNT2 (2DIMMs,3PCI,2USB,20MVid,56K,10/100)	29						
1013	00010	999002	C	00	1	1		0				select			0	0	Select a CPU	0.00						
1014	999002	7000099	C	53				0	1						0	0	Celeron 466 CPU	0.00						
1015	999002	7000100	C	54				0							0	0	Celeron 500 CPU	10						
1016	999002	7000101	C	56				0							0	0	Celeron 533 CPU	20						
1017	999002	7000102	C	57				0							0	0	Celeron 566 CPU	30						
1018	999002	7000103	C	58				0							0	0	Celeron 600 CPU	40						
1019	999002	7000104	C	59				0							0	0	Celeron 633 CPU	50						
1020	999002	7000105	C	60				0							0	0	Celeron 700 CPU	70						
1021	999002	7000124	C	75				0							0	0	PIII-600 Mhz CPU	100						
1022	999002	7000126	C	78				0							0	0	PIII-650 Mhz CPU	110						
1023	999002	7000127	C	80				0							0	0	PIII-700 Mhz CPU	120						
1024	999002	7000128	C	81				0							0	0	PIII-750 Mhz CPU	170						
1025	999002	7000129	C	83				0							0	0	PIII-800 Mhz CPU	190						
1026	999002	7000130	C	84				0							0	0	PIII-850 Mhz CPU Available with B28 Only	230						
1028	999050	7000013	D	01				0	1						0	0	32 Meg 100 MHz SDRAM	0.00						
1029	999050	7000025	D	02				0							0	0	64 Meg 100 MHz SDRAM - (1) 64 DIMM	39						
1030	999050	7000062	D	03				0							0	0	96 Meg 100 MHz SDRAM - (1) 32 & (1) 64 DIMM	79						
1031	999050	7000085	D	04				0							0	0	128 Meg 100 MHz SDRAM - (1) 128 DIMM	99						
1032	999050	7000111	D	05				0							0	0	256 Meg 100 MHz SDRAM - (2) 128 DIMM's	232						
1033	999050	7000116	D	06				0							0	0	384 Meg 100 MHz SDRAM - (3) 128 DIMM's	365						
100020	00010	999007	G		1	1		0							0	0	Select modem							
1010	00010	999000	A	00	1	1		0							0	0	Select case type	0.00						
1036	999008	7000036	F	02				0							0	0	X-Wave Mach One PCI Sound Card W/3D Sound	19						
1037	999008	7000068	F	03				0							0	0	Sound Blaster AWE64 Value (CT4520)	29						
1038	999008	7000092	F	04				0							0	0	Sound Blaster Live Value (CT4832)	59						
1039	999008	7000069	F	05				0							0	0	Sound Blaster PCI 128 (CT4750)	39						
1040	999008	7000070	F	06				0							0	0	Sound Blaster PCI 512 (CT4790)	59						
1041	999008	7000093	F	07				0							0	0	Sound Blaster Live Value MP3+ (SB4760M)	99						
1042	999008	7000094	F	08				0							0	0	Sound Blaster Live Value X-Gamer (SB4760X)	99						
1043	999008	7000108	F	09				0							0	0	Sound Blaster Live Platinum-Retail	179						
1044	999008	7000113	F	50				0							0	0	Diamond Monster Sound MX300	69						
1045	999007	7000006	G	00				0	1						0	0	Integrated 56K Modem	0.00						
1046	999010	7000018	H	00				0	1						0	0	Integrated 10/100 NIC	0.00						
1047	999010	7000088	H	03				0							0	0	3C905 TX 3COM 10/100 NIC	59						
1049	999060	7000038	I	04				0							0	0	10.1 Gig UDMA 7200 rpm Hard Drive	19						
1050	999062	7000040	J	04				0							0	0	10.1 Gig UDMA 7200rpm Hard Drive	150						
1051	999060	7000041	I	05				0	1						0	0	10.2 Gig UDMA Hard Drive	0.00						
1052	999062	7000041	J	05				0							0	0	10.2 Gig UDMA Hard Drive	131						
1053	999060	7000046	I	07				0							0	0	17.2 Gig UDMA Hard Drive	9						
1054	999062	7000046	J	07				0							0	0	17.2 Gig UDMA Hard Drive	140						
1055	999060	7000049	I	09				0							0	0	20.4 Gig UDMA Hard Drive	29						
1056	999062	7000049	J	09				0							0	0	20.4 Gig UDMA Hard Drive	160						
1057	999060	7000076	I	11				0							0	0	25 Gig UDMA Hard Drive	39						
1058	999062	7000076	J	11				0							0	0	25 Gig UDMA Hard Drive	170						
1059	999060	7000077	I	14				0							0	0	27 Gig UDMA 7200rpm Hard Drive	129						
1060	999062	7000077	J	14				0							0	0	27 Gig UDMA 7200rpm Hard Drive	280						
1061	999060	7000053	I	15				0							0	0	34 Gig 7200rpm UDMA Hard Drive	339						
1062	999062	7000079	J	15				0							0	0	34 Gig UDMA 7200rpm Hard Drive	470						
1063	999060	7000080	I	16				0							0	0	40 Gig UDMA Hard Drive	109						
1064	999062	7000080	J	16				0							0	0	40 Gig UDMA Hard Drive	240						
1065	999060	7000081	I	17				0							0	0	45 Gig UDMA Hard Drive	179						
1066	999062	7000081	J	17				0							0	0	45 Gig UDMA Hard Drive	310						
1067	999060	7000082	I	18				0							0	0	60 Gig UDMA Hard Drive	189						
1068	999062	7000082	J	18				0							0	0	60 Gig UDMA Hard Drive	320						
1069	999060	7000073	I	19				0							0	0	60 Gig UDMA 7200 rpm Hard Drive	409						
1070	999062	7000083	J	19				0							0	0	60 Gig 7200 rpm UDMA Hard Drive	540						
1071	999060	7000074	I	20				0							0	0	75 Gig UDMA 7200 rpm Hard Drive	609						
1072	999062	7000084	J	20				0							0	0	75 Gig 7200 rpm UDMA Hard Drive	740						
1073	999060	7000078	I	21				0							0	0	30Gig UDMA Hard Drive	49						
1074	999062	7000078	J	21				0							0	0	30Gig UDMA Hard Drive	180						
1075	00010	999062	J	90	1	1		0		Add a second hard drive		select			0	0	Add a second hard drive	0.00						
1076	00010	999003	K	00	1	1		0							0	0	CDROM DVD options	0.00						
100018	00010	999009	E	00	1	1		0							0	0	Select video							
1077	999003	7000014	K	01				0	1						0	0	50x CD-ROM	0.00						
1078	999003	7000037	K	03				0							0	0	10x DVD (No Decoder)	69						
1079	999003	7000039	K	05				0							0	0	10x DVD & MPEG2 PCI Decoder Card	119						
1080	999003	7000042	K	09				0							0	0	CD Rewriter - 8x4x32x	119						
1081	999003	7000045	K	10				0							0	0	CD Rewriter - 8x4x32x & 44x CD-ROM	159						
1082	999003	7000047	K	11				0							0	0	CD Rewriter - 8x4x32x & 10x DVD	219						
1083	999003	7000061	K	12				0							0	0	6x4x24x4 CDR/CDRW/CD/DVD All-In-One Drive	199						
1097	999004	7000121	N	99				0				select			0	0	-- No Keyboard --	-2						
1085	999015	7000012	L	01				0	1			select			0	0	3.5 inch Mitsumi Floppy Drive	0.00						
1086	999015	7000035	L	02				0				select			0	0	Panasonic LS120 Super Floppy Drive	99						
1087	00010	103001	M	00	1	1		0							0	0	Add Zip Drive / Tape Backup	0.00						
1088	103001	7000027	M	01				0							0	0	Iomega 100 MB Internal Zip Drive	79						
1089	103001	7000064	M	02				0							0	0	HP 5 Gig Travan TB4354 Tape Backup	199						
1090	103001	7000090	M	03				0							0	0	HP 8 Gig Travan TB4386 Tape Backup	249						
1091	103001	7000106	M	04				0							0	0	HP 5 Gig Travan Tape Backup & Iomega 100 Meg Zip	279						
1092	103001	7000114	M	05				0							0	0	HP 8 Gig Travan Tape Backup & Iomega 100 Meg Zip	329						
1093	103001	7000028	M	06				0							0	0	Iomega 250 MB Internal Zip Drive	120						
1094	00010	999004	N	00	1	1		0							0	0	Keyboard	0.00						
1095	999004	7000009	N	01				0	1						0	0	104 Key Win '98 Keyboard	0.00						
1096	999004	7000066	N	02				0							0	0	Microsoft Natural Keyboard	26.5						
200006	103001	7000090	M	02				0							0	0	HP 5 Gig Travan TB4354 Tape Backup	199						
7000064						1									0	0								
7000090						1									0	0								
1027	999050	7000118	D	00				0							0	0	No Memory	-15						
1100	999012	7000010	O	01				0	1						0	0	2 Button High Resolution Mouse	0.00						
1101	999012	7000065	O	02				0							0	0	Microsoft Intellimouse	26.5						
1102	00010	103002	P	00	1	1		0							0	0	Select speakers	0.00						
1103	103002	7000023	P	01				0							0	0	150 Watt (P.M.P.O) Speakers	7						
1104	103002	7000060	P	02				0							0	0	400 Watt Speakers With Subwoofer	43						
1105	103002	7000089	P	03				0							0	0	Creative Labs 4 Point Surround Sound	99						
1106	103002	7000098	P	20				0							0	0	Altec ACS33 Amplified Powercube - 10W SPK 15W Sub	49						
1107	103002	7000112	P	21				0							0	0	Altec ACS45.2 Amplified Powercube - 6W SPK 20W Sub	69						
