sku	description	title	template_page	comment	thumb	image	price	wholesale	prod_group	category	nontaxable	weight	size	color	gift_cert	related	featured	download	dl_type	dl_location	inactive	url
7000015	ATX Mid Tower-Grey (3)5.25 (2)3.5 & (1)3.5 Hidden				thumb.gif	yourimage.gif	49.00	44.10	Hardware	Cases		0										http://www.explorermicro.com/sysinfo/cases.html
7000043	ATX Tower Case			This case is packed with options. Four 5.25 & two 3.5 drive bays provide plenty of expansion space.	thumb.gif	yourimage.gif	49.00	44.10	Hardware	Cases		0										http://www.explorermicro.com/sysinfo/cases.html
7000063	ATX Desktop Case (2)5.25 & (2)3.5				thumb.gif	yourimage.gif	35.00	31.50	Hardware	Cases		0										http://www.explorermicro.com/sysinfo/cases.html
7000095	Super Tower Case (6)5.25 & (3)3.5				thumb.gif	yourimage.gif	75.00	67.50	Hardware	Cases		0										http://www.explorermicro.com/sysinfo/cases.html
7000033	Micro ATX Tower - Grey				thumb.gif	yourimage.gif	69.00	62.10	Hardware	Cases		0										
7000032	Micro ATX Tower - Red				thumb.gif	yourimage.gif	69.00	62.10	Hardware	Cases		0										
7000030	Micro ATX Tower				thumb.gif	yourimage.gif	69.00	62.10	Hardware	Cases		49										
7000031	Micro ATX Tower - Blue				thumb.gif	yourimage.gif	69.00	62.10	Hardware	Cases		0										
7000017	Motherboard (1 ISA,1 PCI,3 DIMMs,2 USB,56K,10/100NIC)				thumb.gif	yourimage.gif	150.00	135.00	Hardware	Motherboards		0										http://www.explorermicro.com/sysinfo/motherboards/m3741lmt/m3741lmt.html
7000099	Celeron 466 CPU				thumb.gif	yourimage.gif	40.00	36.00	Hardware	CPU chips		0										
7000100	Celeron 500 CPU				thumb.gif	yourimage.gif	50.00	45.00	Hardware	CPU chips		0										
7000101	Celeron 533 CPU				thumb.gif	yourimage.gif	60.00	54.00	Hardware	CPU chips		0										
7000102	Celeron 566 CPU				thumb.gif	yourimage.gif	70.00	63.00	Hardware	CPU chips		0										
7000103	Celeron 600 CPU				thumb.gif	yourimage.gif	80.00	72.00	Hardware	CPU chips		0										
7000104	Celeron 633 CPU				thumb.gif	yourimage.gif	90.00	81.00	Hardware	CPU chips		0										
