code	sel	name	which_page	sort	display_type	image	image_prop	banner_image	banner_text	link_type	url	tab	page	search	selector	link_template
1	1	Picks & Hatchets			name					simple		products			category=Picks & Hatchets	
2	6	Paintbrushes								simple					category=Paintbrushes	
3	6	Rollers								simple					category=Rollers	
4	5	Toolboxes								simple					category=Toolboxes	
5	2	Rulers								simple					category=Rulers	
6	1	Brushes			name					simple		products			category=Brushes	
7	2	Tape Measures								simple					category=Tape Measures	
8	1	Hammers			name				Hand Planes	simple		products			category=Hammers	
9	1	Hand Planes								simple					category=Hand Planes	
10	3	Ladders								simple					category=Ladders	
11	1	Shovels								simple					category=Shovels	
12	1	Shears								simple					category=Shears	
13	4	Eye Protection								simple					category=Eye Protection	
14	5	Tool Belts								simple					category=Tool Belts	
15	2	Squares								simple					category=Squares	
16	1	Wrenches								simple					category=Wrenches	
17	1	Pliers								simple					category=Pliers	
18	6	Sandpaper								simple					category=Sandpaper	
19	6	Putty Knives								simple					category=Putty Knives	
20	1	Hand Saws			name					simple		products			category=Hand Saws	
21	4	Breathing Protection								simple					category=Breathing Protection	
22	2	Levels								simple					category=Levels	
23	3	Step Stools								simple					category=Step Stools	
24	7	Nails								simple					category=Nails	
25	8 9	Gift Certificate		03	name					simple		products	swap_results		category=Gift Certificate	
26	9	New items		01	name					complex				fi=merchandisingsf=featuredse=new		
27	9	Sale items		01	name					complex				fi=merchandisingsf=featuredse=specialsu=yes		
