sku	price_group	q2	q5	q10	q25	q100
os28004	1		15	14		
os28005	1		5	4		
os28006	1		24	23		
os28007	1		9	8		
os28008	1		24	23		
os28009	1		5	4.25		
os28011	1		9	8		
os28044	1		11	10		
os28057a	1		11.00	10.00		
os28057b	1		9.00	8.00		
os28057c	1		10.00	9.00		
os28062	1		17	15		
os28064	1		15	14		
os28065	1		13	12		
os28066	1		11	10		
os28068a	1		3	2		
os28068b	1		9	8		
os28069	1		34	33		
os28070	1		29	28		
os28072	1		12	11		
os28073	1		16	14		
os28074	1		16	24		
os28075	1		9	8.5		
os28076	1		14	13		
os28077	1		29	28		
os28080	1		13	10		
os28081	1		5	4		
os28082	1		16.50	15.50		
os28084	1		14	13		
os28085	1		29	28		
os28086	1		8	7		
os28087	1		7	6		
os28108	1		2.5	2		
os28109	1		17	16		
os28110	1		11	10		
os28111	1		14	13		
os28112	1		9	8		
os28113	1		11.5	10		
os29000	1		21.50	20.50		
