code	mgroup	msort	inactive	page	form	name	description	extended
001		x001	0			AR		
002		x002	0	ar.pl	customer=All%20Customers&sort=transdate&open=Y&l_invnumber=Y&l_transdate=Y&l_name=Y&l_amount=Y&l_paid=Y&nextsub=ar_transactions&action=Continue	Open transactions		
003		x003	0	ar.pl	customer=All%20Customers&sort=transdate&open=Y&l_invnumber=Y&l_transdate=Y&l_name=Y&l_amount=Y&l_paid=Y&nextsub=ar_transactions&action=Continue&closed=Y	All Transactions		
004		x004	0	ar.pl	action=search&nextsub=ar_transactions	Search: Transactions		
005		x005	0	ar.pl	action=search&nextsub=payments	Search: Payments		
006	full	x006	0	ct.pl	action=add&db=customer	Add Customer		
007	full	x007	0	ar.pl	action=add	Add Transaction		
008	full	x008	0	is.pl	action=add&foo=bar	Customer Invoice		
009		x009	0					
010	full	x010	0			AP		
011	full	x011	0	ct.pl	action=add&db=vendor	Add Vendor		
012	full	x012	0	ap.pl	action=search&nextsub=payments	Payments		
013	full	x013	0	rp.pl	action=report&title=AP%20Aging	Report: Aging		
014	full	x014	0	ap.pl	action=search&nextsub=ar_transactions	Report: Transactions		
015	full	x015	0	ct.pl	action=search&db=vendor	Search Vendor		
016	full	x016	0	ir.pl	action=add&type=invoice	Vendor Invoice		
017	full	x017	0					
018		x018	0			Order Entry		
019	full	x019	0	oe.pl	action=search&type=purchase_order	Show POs		
020		x020	0	oe.pl	action=search&type=sales_order	Show Sales Orders		
021	full	x021	0	oe.pl	action=add&type=purchase_order	Add PO		
022		x022	0	oe.pl	action=add&type=sales_order	Add Sales Order		
023		x023	0					
024		x024	0			General Ledger		
025	full	x025	0	gl.pl	action=add	Add Transaction		
026		x026	0	gl.pl	action=search	Reports		
027		x027	0					
028		x028	0			Inventory		
029	full	x029	0	ic.pl	action=add&item=assembly	Add Assembly		
030		x030	0	ic.pl	action=add&item=part	Add Part		
031		x031	0	ic.pl	action=add&item=service	Add Service		
032		x032	0	ir.pl	action=add&type=invoice	Merchandise Received		
033		x033	0	ic.pl	searchitems=all&l_partnumber=Y&l_description=Y&l_onhand=Y&l_unit=Y&l_sellprice=Y&action=Generate%20Report	Show all parts		
034	full	x034	0	ic.pl	action=search	Reports		
035		x035	0					
036		x036	0			Reports		
037		x037	0	rp.pl	action=report&title=Balance%20Sheet	Balance Sheet		
038		x038	0	ca.pl	action=chart_of_accounts	Chart of Accounts		
039		x039	0	rp.pl	action=report&title=Income%20Statement	Income Statement		
040		x040	0	rp.pl	action=report&title=Trial%20Balance	Trial Balance		
