code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url
001	Wizard	0		groupcomp			admin/wizard/index		About Your Company	1	0		groupcomp					
002	Wizard	1	1	company			admin/wizard/step_company		Company Information	1	0		compinfo					
003	Wizard	1	1	email			admin/wizard/step_email		Company E-mail Addresses	1	0		compemail					
004	Wizard	0		grouppolicy			admin/wizard/step_grouppolicy		About Your Preferences	1	0		grouppolicy					
005	Wizard	1	1	tax			admin/wizard/step_tax		Tax Information	1	0		taxcalc					
006	Wizard	1	1	ship			admin/wizard/step_ship		Shipping Preferences	1	0		shipinfo					
007	Wizard	1	1	pay			admin/wizard/step_pay		Payment Preferences	1	0		payment					
008	Wizard	1	1	security			admin/wizard/step_security		Security Preferences	1	0		general					
009	Wizard	0		groupcontent			admin/wizard/step_content		About Your Site	1	0		groupcontent					
010	Wizard	1	1	index			admin/wizard/step_index		Index page	1	0		content					
011	Wizard	1	1	about			admin/wizard/step_about		About us	1	0		content					
012	Wizard	0		products			admin/wizard/step_products		About Your Products	1	0		sprdsht					
013	Wizard	0		preview			admin/wizard/step_preview		Preview	1	0		general					
014	Wizard	0		launch			admin/wizard/step_launch		Launch	1	0		general					
