sku	price_group	q2	q3	q4	q5	q10	q25	q50	q100	option1	option2	option3	option4
00-340		400			200	100	50		20				
22-201	2	400			200	100	50		20				
00-0011		1000			1000	1000	500		250				
22-002	2	400			200	100	50		20				
00-0011a		50			45	40	35		30				
00-403		400			200	100	50		20				
98-102	9	400			200	100	50		20				
00-2002		400			200	100	50		20				
99-104	9	100			95	80							
00-343		400			200	100	50		20				
99-301	9	400			200	100	50		20				
00-0010		400			200	100	50		20				
19-204	1	800			500	400	300		250				
22-003	2	400			200	100	50		20				
21-221	2	400			200	100	50		20				
99-102	9	10			10	9	8		7				
34-101	3	400			200	100	50		20				
00-404		400			200	100	50		20				
00-341	0	400			200	100	50		20				
99-322	9	400			200	100	50		20				
22-200	2	400			200	100	50		20				
99-105	9	100											
00-344		400			200	100	50		20				
19-203	1	800			500	400	300		250				
00-402	0	400			200	100	50		20				
98-101	9	400			200	100	50		20				
00-2001		400			200	100	50		20				
99-103	9	100			95	80							
00-342		300			200	100	50		20				
