sku	partno	description	price	category	class	title	who_by	comment	thumb	image	nontaxable	weight	size	color	options	related	featured	download	dl_type	dl_location
00-0010		The Last Supper, LEONARDO da Vinci	30000000	Renaissance	Art	The Last Supper	LEONARDO da Vinci	1498, Tempera on plaster, 460 x 880 cm (15 x 29 ft.)		lastsupp.jpg		8				00-0011a	Front			
00-0011		MONA LISA, Da Vinci	50000000	Renaissance	Art	Mona Lisa	LEONARDO da Vinci	What was she smiling about?		00-0011.jpg	no	8				00-0011a				
00-0011a		Gilded Frame signed by Da Vinci	1000	Accessory	Art	Frame	Gilded			00-0011a.png	1	20								
00-2001		The Madonna of the Magnificat, BOTTICELLI	8000000	Renaissance	Art	The Madonna of the Magnificat	BOTTICELLI, Sandro	c. 1485, Tempera on panel, diameter 118 cm		magnificat.jpg		7								
00-2002		Portrait of a Young Man, BOTTICELLI	10000000	Renaissance	Art	Portrait of a Young Man	BOTTICELLI, Sandro	c. 1480-85, Wood, 37.5 x 28.2 cm		young_man.jpg		5								
00-340		Irises, VAN GOGH	40000000	Impressionists	Art	Irises	VAN GOGH, Vincent	1889, Oil on canvas, 28 x 36 3/4 in. (71 x 93 cm)		irises.jpg		5				00-341 00-342	Front			
00-341		SUNFLOWERS, by Van Gogh	40000000	Impressionists	Art	Sunflowers	VAN GOGH, Vincent	An exquisite painting showing Van Gogh at the height of his pointillist powers.		00-341.jpg	no	40								
00-342		THE STARRY NIGHT, Van Gogh	30000000	Impressionists	Art	The Starry Night	VAN GOGH, Vincent	Breathtaking example of Van Gogh's work.		00-342.jpg	no	10								
00-343		PERSISTENCE OF MEMORY, Dali	20000000	Surrealists	Art	Persistence of Memory	DALI, Salvador	How does he do that?		00-343.jpg	no	10								
00-344		Illumined Pleasures, DALI	5000000	Surrealists	Art	Illumined Pleasures	DALI, Salvador	1929, Oil and collage on composition board, 9 3/8 x 13 3/4 in.		illumined_pleasures.jpg		5				00-343				
00-402		Golconde, MAGRITTE	7000000	Surrealists	Art	Golconde	MAGRITTE, Rene	1953, Oil on canvas, 31 1/2 x 39 1/2 in.		golconde.jpg		5								
00-403		Self-Portrait with Loose Hair, KAHLO	2000000	Surrealists	Art	Self-Portrait with Loose Hair	KAHLO, Frida	1947, Oil on masonite, 24 x 17 3/4 in. (61 x 45 cm)		loose_hair.jpg		5				00-404	Front			
