code	type	width	height	field	db	name	outboard	options	attribute	label	help	lookup	filter	help_url	pre_filter	lookup_exclude
affiliate::timeout	text	8								Timeout delay	(in seconds, 0 to disable)					
mv_metadata::lookup	text	20														
mv_metadata::width	text	4											digits			
products::title	text	30								Title			namecase			
userdb::city	text	40								City						
userdb::b_lname	text	40								Billing Last Name						
userdb::b_address1	text	40								Billing Address						
mv_metadata::code	text	20								Table::Column	Table::column to be operated on					
transactions::status	combo							pending=Pending, shipped=Shipped, backorder=Back ordered, credit=Waiting for credit check, canceled=Canceled					nullselect			
userdb::b_state	text	10								Billing State						
products::color	textarea	50	5													
userdb::b_zip	text	10								Billing Postcode						
products::artist	text	30								Artist						
variable::Variable::PO_ACCEPTED	select							0=No, 1=Yes								
products::price	text	12								Product Price			digits_dot			
affiliate::name	text	50								Affiliate Name						
products::description	text	60								Short Description						
userdb::b_address2	text	40								 						
userdb::lname	text	30								Last Name						
variable::Variable::COD_ACCEPTED	select							0=No, 1=Yes								
pricing::price_group	combo				pricing					Discount group		price_group	nullselect			
products::comment	textarea	70	4							Long Description						
products::size	textarea	50	5													
userdb::address1	text	40								Address						
userdb::b_fname	text	40								Billing First Name						
userdb::country	text	10								Country						
affiliate::affiliate	text	12								Affiliate ID			word			
products::image	imagedir															
products::nontaxable	select							=Yes, 1=No		Taxable?						
userdb::fname	text	30								First name						
inventory::stock_message	select							In stock, Ships in 3-5 days, Ships in 4-6 weeks, Special order								
variable::Variable::MYSQL	select							0=No, 1=Yes								
variable::Variable::CHECK_ACCEPTED	select							0=No, 1=Yes								
mv_metadata::height	text	4											digits			
mv_metadata::db	combo							tables					nullselect			
userdb	text			lname,fname												
userdb::email	text	40								Email Address						
shipping	text			description												
pricing	text						2									
mv_metadata::type	select							select=Select box, text=Text entry*,textarea=Textarea,combo=Combo Select, radio=Radio box, radio_nbsp=Radio (nbsp), checkbox=Check box, check_nbsp=Checkbox (nbsp), hidden_ text=Hidden (show text), multiple=Multiple Select, imagedir=Image listing, date=Date selector		Widget type			filesafe			
affiliate::url	text	70								URL	Default URL to redirect to					
products::featured	select							=none, front=Front page, cart=Basket page, receipt=Receipt								
products::sku										SKU/Item code						
products	text			description												
products::related	multiple	5		sku	products					Related items</B><BR><FONT SIZE=1>(space separated SKUs)						
userdb::phone_night	text	30								Home Phone						
userdb::username	text	16								Username			no_white			
userdb::phone_day	text	30								Daytime Phone						
mv_metadata::filter	multiple		5					filesafe=Safe for file name,    uc=Upper case,    nullselect=First non-null (combo box),    null_to_space=Translate null to space,    null_to_comma=Translate null to comma,    lc=Lower case,    digits_dot=Decimal number (not negative),    backslash=Remove backslashes,    namecase=Name case,    name=Turn LAST,FIRST into FIRST LAST,    digits=Digits only,    word=Word chars only (A-z0-9_),    unix=DOS to UNIX,    dos=UNIX to DOS,    mac=UNIX to MAC,    gate=Only allow if scratch set,    no_white=No whitespace,    strip=Strip leading/trailing whitespace,    sql=Escape single quotes (SQL),    text2html=Simple text to HTML,    urlencode=URL encode (%20, etc),    pagefile=Safe for Minivend page name,    entities=HTML entities (&amp; -> &amp;amp;), date_change=MM/DD/YYYY to YYYYMMDD					null_to_space			
userdb::company	text	40								Company						
access::super	select							0=No, 1=Yes								
userdb::b_country	text	10								Billing Country						
mv_metadata::help	textarea	70	4													
userdb::b_city	text	40								Billing City						
userdb::address2	text	40								 						
userdb::zip	text	10								Postcode			uc word			
products::category	multiple		5		products					Category	Enter in box for new category.	category			colons_to_null	::
userdb::state	text	10								State						
products::weight	text	4								Weight in pounds			digits_dot			
