code	mgroup	msort	next_line	indicator	exclude_on	depends_on	page	form	name	super	inactive	description	help_name	img_dn	img_up	img_sel	img_icon	url	member
0		0					scan/co=yes/fi=products/sf=prod_group/se=Gift Certificates/op=eq/tf=category,description		Gift Certificates		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Gift Certificates/op=eq/sf=category/se=Online/op=eq/tf=description		Online		0								
0		2					os29099		Gift Certificate -- $10.00		0								
0		0					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/tf=category,description		Hand Tools		0								
0		2					os28072				0								
0		2					os28068a				0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Brushes/op=eq/tf=description		Brushes		0								
0		2					os28009		Brush Set		0								
0		2					os28108		Hand Brush		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hammers/op=eq/tf=description		Hammers		0								
0		2					os28044		Framing Hammer		0								
0		2					os28073		Mini-Sledge		0								
0		2					os28075		Modeling Hammer		0								
0		2					os28074		Rubber Mallet		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hand Planes/op=eq/tf=description		Hand Planes		0								
0		2					os28080		The Blade Hand Planer		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Picks & Hatchets/op=eq/tf=description		Picks & Hatchets		0								
0		2					os28076		Digger Hand Trencher		0								
0		2					os28113		The Claw Hand Rake		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Pliers/op=eq/tf=description		Pliers		0								
0		2					os28062		Electricians Plier Set		0								
0		2					os28065		Mechanics Pliers		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Shears/op=eq/tf=description		Shears		0								
0		2					os28111		Hedge Shears		0								
0		2					os28110		Mighty Mouse Tin Snips		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Shovels/op=eq/tf=description		Shovels		0								
0		2					os28112		Garden Shovel		0								
0		2					os28109		Mini-Spade		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Wrenches/op=eq/tf=description		Wrenches		0								
0		2					os28064		Mechanics Wrench Set		0								
0		0					scan/co=yes/fi=products/sf=prod_group/se=Hardware/op=eq/tf=category,description		Hardware		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Hardware/op=eq/sf=category/se=Nails/op=eq/tf=description		Nails		0								
0		2					os28057c		10 Penny Nails		0								
0		2					os28057a		16 Penny Nails		0								
0		2					os28057b		8 Penny Nails		0								
0		0					scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/tf=category,description		Ladders		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/sf=category/se=Ladders/op=eq/tf=description		Ladders		0								
0		2					os28085		Big A A-Frame Ladder		0								
0		2					os28008		Painters Ladder		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/sf=category/se=Step Stools/op=eq/tf=description		Step Stools		0								
0		2					os29000		3' Step Ladder		0								
0		0					scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/tf=category,description		Measuring Tools		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Levels/op=eq/tf=description		Levels		0								
0		2					os28082		24" Level		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Rulers/op=eq/tf=description		Rulers		0								
0		2					os28086		Folding Ruler		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Squares/op=eq/tf=description		Squares		0								
0		2					os28066		Big L Carpenters Square		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Tape Measures/op=eq/tf=description		Tape Measures		0								
0		2					os28084		Tape Measure		0								
0		0					scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/tf=category,description		Painting Supplies		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Paintbrushes/op=eq/tf=description		Paintbrushes		0								
0		2					os28007		Disposable Brush Set		0								
0		2					os28006		Painters Brush Set		0								
0		2					os28005		Trim Brush		0								
0		1					scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Putty Knives/op=eq/tf=description		Putty Knives		0								
0		2					os28011		Spackling Knife		0								
