sku	description	title	template_page	comment	thumb	image	price	wholesale	prod_group	category	tax_category	nontaxable	weight	option_type	author	related	featured	gift_cert	download	dl_type	dl_location	inactive	url	sale_price	image_large
os28004	Ergo Roller	Ergo Roller		The special ergonomic design of our paint rollers has been recommended by physicians to ease the strain of repetitive movements.  This unique roller design features "pores" to hold and evenly distribute more paint per wetting than any other brush.	os28004_b.gif	os28004.gif	21.99	16	Painting Supplies	Rollers		1	1	Matrix										14.95	
os28005	Trim Brush	Trim Brush		Our trim paint brushes are perfectly designed.  The ergonomic look and feel will save hours of pain and the unique brush design allows paint to flow evenly and consistently.	os28005_b.gif	os28005.gif	8.99	6	Painting Supplies	Paintbrushes		1	1	Simple											
os28006	Painters Brush Set	Painters Brush Set		This set includes 2" and 3" trim brushes and our ergonomically designer paint roller.  A perfect choice for any painting project.	os28006_b.gif	os28006.gif	29.99	25	Painting Supplies	Paintbrushes		1	1												
os28007	Disposable Brush Set	Disposable Brush Set		This set of disposable foam brushes is ideal for any staining project.  The foam design holds the maximum amount of stain and the wood handle allows you to preview the color before you apply it.  This set includes a brush for all needs. 1/2", 1", 2", 3" are included.	os28007_b.gif	os28007.gif	14.99	10	Painting Supplies	Paintbrushes		1	1												
os28008	Painters Ladder	Painters Ladder		This 6' painters ladder is perfect for getting around in almost any room.  The paint tray is reinforced to hold up to a 5 gallon paint bucket.  The only time you'll have to get down is to move your ladder!	os28008_b.gif	os28008.gif	29.99	25	Ladders	Ladders		1	3												
os28009	Brush Set	Brush Set		This Hand Brush set includes our carpenters hand brush and a flat handled brush for the bigger cleanups.  Both brushes are made of the finest horsehair and are ideal for all surfaces.	os28009_b.gif	os28009.gif	9.99	6	Hand Tools	Brushes		1	1												
os28011	Spackling Knife	Spackling Knife		A must have for all painters!  This spackling knife is ergonomically designed for ease of use and boasts a newly designed finish to allow easy clean up.	os28011_b.gif	os28011.gif	14.99	10	Painting Supplies	Putty Knives		1	1	Simple											
os28044	Framing Hammer	Framing Hammer		Enjoy the perfect feel and swing of our line of hammers. This framing hammer is ideal for the most discriminating of carpenters.  The handle is perfectly shaped to fit the hand and the head is weighted to get the most out of each swing.	os28044_b.gif	os28044.gif	19.99	12	Hand Tools	Hammers		1	2												
os28057a	16 Penny Nails	16 Penny Nails		Try our high quality 16 penny titanium nails for a lifetime of holding power. Box count about 100 nails.	os28057a_b.gif	os28057a.gif	14.99	12	Hardware	Nails		1	1												
os28057b	8 Penny Nails	8 Penny Nails		Our 8 penny nails are perfect for those hard to reach spots. Made of titanium they are guaranteed to last as long as your project. Box count about 200 nails.	os28057b_b.gif	os28057b.gif	12.99	10	Hardware	Nails		1	1												
os28057c	10 Penny Nails	10 Penny Nails		Perfect for all situations our titanium 10 Penny nails should be a part of every project.  Box count about 100 nails.	os28057c_b.gif	os28057c.gif	13.99	11	Hardware	Nails		1	1												
os28062	Electricians Plier Set	Electricians Plier Set		This electricians set includes heavy duty needle-nose pliers and wire cutters.  The needle-nose pliers have an extended tip making them easy to get into those hard to reach places, and the cutters are equipped with spring action so they bounce back ready for the next cut.	os28062_b.gif	os28062.gif	24.99	19	Hand Tools	Pliers		1	1												
os28064	Mechanics Wrench Set	Mechanics Wrench Set		This 5 piece set is ideal for all mechanics. Available in standard and metric sizes these tools are guaranteed to cover all of your needs.	os28064_b.gif	os28064.gif	19.99	16	Hand Tools	Wrenches		1	2												
os28065	Mechanics Pliers	Mechanics Pliers		Our mechanics pliers are available in multiple sizes for all of your needs.  From 1/4" to 3" in diameter.	os28065_b.gif	os28065.gif	18.99	14	Hand Tools	Pliers		1	2												
os28066	Big L Carpenters Square	Big L Carpenters Square		The "Big L" is a must for every carpenter. Designed for ease of use, this square is perfect for measuring and marking cuts, ensuring that you get the right cut every time!	os28066_b.gif	os28066.gif	14.99	12	Measuring Tools	Squares		1	1	Matrix											
os28068a	Breathe Right Face Mask	Breathe Right Face Mask		The unique design of our "Breathe Right" face mask is a must for all applications. Our patented micro-fiber insures that 90% of all dust and harmful materials are filtered out before you breathe them in. EDITED	os28068a_b.gif	os28068a.gif	5.99	4	Safety Equipment	Breathing Protection		1	1												
