sku	description	title	comment	prod_group	category
os28004	Ergo Roller	Ergo Roller	The special ergonomic design of our paint rollers has been recommended by physicians to ease the strain of repetitive movements.  This unique roller design features "pores" to hold and evenly distribute more paint per wetting than any other brush.	Painting Supplies	Rollers
os28005	Trim Brush	Trim Brush	Our trim paint brushes are perfectly designed.  The ergonomic look and feel will save hours of pain and the unique brush design allows paint to flow evenly and consistently.	Painting Supplies	Paintbrushes
os28006	Painters Brush Set	Painters Brush Set	This set includes 2" and 3" trim brushes and our ergonomically designer paint roller.  A perfect choice for any painting project.	Painting Supplies	Paintbrushes
os28007	Disposable Brush Set	Disposable Brush Set	This set of disposable foam brushes is ideal for any staining project.  The foam design holds the maximum amount of stain and the wood handle allows you to preview the color before you apply it.  This set includes a brush for all needs. 1/2", 1", 2", 3" are included.	Painting Supplies	Paintbrushes
os28008	Painters Ladder	Painters Ladder	This 6' painters ladder is perfect for getting around in almost any room.  The paint tray is reinforced to hold up to a 5 gallon paint bucket.  The only time you'll have to get down is to move your ladder!	Leitern	Leitern
os28009	Brush Set	Brush Set	This Hand Brush set includes our carpenters hand brush and a flat handled brush for the bigger cleanups.  Both brushes are made of the finest horsehair and are ideal for all surfaces.	Hand Tools	Brushes
os28011	Spackling Knife	Spackling Knife	A must have for all painters!  This spackling knife is ergonomically designed for ease of use and boasts a newly designed finish to allow easy clean up.	Painting Supplies	Putty Knives
os28044	Framing Hammer	Framing Hammer	Enjoy the perfect feel and swing of our line of hammers. This framing hammer is ideal for the most discriminating of carpenters.  The handle is perfectly shaped to fit the hand and the head is weighted to get the most out of each swing.	Hand Tools	Hammers
os28057a	16 Penny Nails	16 Penny Nails	Try our high quality 16 penny titanium nails for a lifetime of holding power. Box count about 100 nails.	Hardware	Nails
os28057b	8 Penny Nails	8 Penny Nails	Our 8 penny nails are perfect for those hard to reach spots. Made of titanium they are guaranteed to last as long as your project. Box count about 200 nails.	Hardware	Nails
os28057c	10 Penny Nails	10 Penny Nails	Perfect for all situations our titanium 10 Penny nails should be a part of every project.  Box count about 100 nails.	Hardware	Nails
os28062	Electricians Plier Set	Electricians Plier Set	This electricians set includes heavy duty needle-nose pliers and wire cutters.  The needle-nose pliers have an extended tip making them easy to get into those hard to reach places, and the cutters are equipped with spring action so they bounce back ready for the next cut.	Hand Tools	Pliers
os28064	Mechanics Wrench Set	Mechanics Wrench Set	This 5 piece set is ideal for all mechanics. Available in standard and metric sizes these tools are guaranteed to cover all of your needs.	Hand Tools	Wrenches
os28065	Mechanics Pliers	Mechanics Pliers	Our mechanics pliers are available in multiple sizes for all of your needs.  From 1/4" to 3" in diameter.	Hand Tools	Pliers
os28066	Big L Carpenters Square	Big L Carpenters Square	The "Big L" is a must for every carpenter. Designed for ease of use, this square is perfect for measuring and marking cuts, ensuring that you get the right cut every time!	Measuring Tools	Squares
os28068a	Breathe Right Face Mask	Breathe Right Face Mask	The unique design of our "Breathe Right" face mask is a must for all applications. Our patented micro-fiber insures that 90% of all dust and harmful materials are filtered out before you breathe them in.	Safety Equipment	Breathing Protection
os28068b	The Bug Eye Wear	The Bug Eye Wear	Nothing protects your vision like "The Bug".  The unique design of these safety goggles is practically impenetrable and our special venting technology will make you forget you even have them on.	Safety Equipment	Eye Protection
os28069	Flat Top Toolbox	Flat Top Toolbox	This heavy weight tool box is perfect for any handy person.  The lift out top is perfect for a carry along, and there is plenty of open space for larger tool storage.	Tool Storage	Toolboxes
os28070	Electricians Tool Belt	Electricians Tool Belt	This tool belt is perfectly designed for the specialized tools of the electrical trade.  There is even a pocket for your voltage meter in this 100% leather belt!	Tool Storage	Tool Belts
os28072	Deluxe Hand Saw	Deluxe Hand Saw	Our deluxe hand saw is perfect for precision work. This saw features an ergonomic handle and carbide tipped teeth.  Available in 2', 2.5', and 3' lengths.	Hand Tools	Hand Saws
os28073	Mini-Sledge	Mini-Sledge	Our mini-sledge hammer is superior for smaller jobs that require a little more power.  Give this one a try on landscaping stakes and concrete frames.	Hand Tools	Hammers
os28074	Rubber Mallet	Rubber Mallet	Perfectly weighted and encased in rubber this mallet is designed for ease of use in all applications.	Hand Tools	Hammers
os28075	Modeling Hammer	Modeling Hammer	Ideal for the hobbiest this modeling hammer is made for the delicate work. Fits easily into small spaces and the smaller head size is perfect for intricate projects.	Hand Tools	Hammers
os28076	Digger Hand Trencher	Digger Hand Trencher	The "Digger" is a gardeners dream.  Specially designed for moving dirt it boasts two different styles of blade.  Use the one side for trenching, or use the other side with it's wider angle to get hard to handle roots out of the ground.  Available in 3" size only.	Hand Tools	Picks & Hatchets
os28077	Carpenter's Tool Belt	Carpenter's Tool Belt	Specially designed this tool belt comes with all of the carpenter's necessities.  Made of 100% leather this tool belt boasts a hammer hockey, tape measure hockey, and cordless drill holster.  Multiple pockets will allow you to eliminate those extra trips back to the tool box.	Tool Storage	Tool Belts
os28080	The Blade Hand Planer	The Blade Hand Planer	The perfect precision hand planer.  Our patented blade technology insures that you will never have to change or sharpen the blade.  Available in 1", 1.5", and 2" widths.	Hand Tools	Hand Planes
os28081	Steel Wool	Steel Wool	Available in all different weights this steel wool is more durable than any other.  Perfect for stain removal or smoothing hard to reach surfaces.	Painting Supplies	Sandpaper
os28082	24" Level	24" Level	Certified accuracy, High strength, long life, Built-in rubber grips for usefulness. Easy to clean.	Measuring Tools	Levels
os28084	Tape Measure	Tape Measure	No matter what you need to measure you are sure to find the ideal tape measure here.  All of our tape measures are spring loaded for fast retraction and all lock in place for extended measuring.  Available in 10', 16', 24', and 36'.	Measuring Tools	Tape Measures
os28085	Big A A-Frame Ladder	Big A A-Frame Ladder	The "Big A" is the ideal A-Frame ladder.  Available in both 6' and 12' heights you are sure to find the one that meets your needs.  The treads of both sides are reinforced for climbing making placement a breeze.	Leitern	Leitern
