sku	description	title	comment	prod_group	category
os28004	Ergo Roller	Ergo Roller	Het speciale ergonomische design van onze verfrollers verlicht de inspannning van de herhalende bewegingen en wordt daarom aanbevolen door specialisten. Deze unieke verfroller heeft meerdere porien waardoor meer verf wordt opgenomen per aanzet en zorgt daardoor voor een gelijkmatigere verdeling van verf dan welke andere kwast dan ook.	Schildermaterialen	Rollers
os28005	Trim Brush	Trim Brush	Our trim paint brushes are perfectly designed.  The ergonomic look and feel will save hours of pain and the unique brush design allows paint to flow evenly and consistently.	Schildermaterialen	Kwasten
os28006	Schilders Kwastenset	Schilders Kwastenset	Deze set bevat 2" and 3" trim kwasten en een ergonomisch ontworpen verfroller. De perfecte keuze voor elke schilderklus.	Schildermaterialen	Kwasten
os28007	Disposable Brush Set	Disposable Brush Set	This set of disposable foam brushes is ideal for any staining project.  The foam design holds the maximum amount of stain and the wood handle allows you to preview the color before you apply it.  This set includes a brush for all needs. 1/2", 1", 2", 3" are included.	Schildermaterialen	Kwasten
os28008	Schildersladder	Schildersladder	Deze 1.80m hoge schildersladder is perfect voor gebruik in bijna elke ruimte. De verftray is versterkt zodat deze een verfemmer kan dragen van meer dan 10 liter. De enige keer dat je eraf moet is als je hem moet verzetten!	Ladders	Ladders
os28009	Brush Set	Brush Set	This Hand Brush set includes our carpenters hand brush and a flat handled brush for the bigger cleanups.  Both brushes are made of the finest horsehair and are ideal for all surfaces.	Handgereedschappen	Borstels
os28011	Spackling Knife	Spackling Knife	A must have for all painters!  This spackling knife is ergonomically designed for ease of use and boasts a newly designed finish to allow easy clean up.	Schildermaterialen	Plamuurmessen
os28044	Framing Hammer	Framing Hammer	Enjoy the perfect feel and swing of our line of hammers. This framing hammer is ideal for the most discriminating of carpenters.  The handle is perfectly shaped to fit the hand and the head is weighted to get the most out of each swing.	Handgereedschappen	Hamers
os28057a	16 Penny Nails	16 Penny Nails	Try our high quality 16 penny titanium nails for a lifetime of holding power. Box count about 100 nails.	IJzerwaren	Spijkers
os28057b	8 Penny Nails	8 Penny Nails	Our 8 penny nails are perfect for those hard to reach spots. Made of titanium they are guaranteed to last as long as your project. Box count about 200 nails.	IJzerwaren	Spijkers
os28057c	10 Penny Nails	10 Penny Nails	Perfect for all situations our titanium 10 Penny nails should be a part of every project.  Box count about 100 nails.	IJzerwaren	Spijkers
os28062	Electricians Plier Set	Electricians Plier Set	This electricians set includes heavy duty needle-nose pliers and wire cutters.  The needle-nose pliers have an extended tip making them easy to get into those hard to reach places, and the cutters are equipped with spring action so they bounce back ready for the next cut.	Handgereedschappen	Buigtangen
os28064	Mechanics Wrench Set	Mechanics Wrench Set	This 5 piece set is ideal for all mechanics. Available in standard and metric sizes these tools are guaranteed to cover all of your needs.	Handgereedschappen	Moersleutels
os28065	Mechanics Pliers	Mechanics Pliers	Our mechanics pliers are available in multiple sizes for all of your needs.  From 1/4" to 3" in diameter.	Handgereedschappen	Buigtangen
