"ZONE CHART"
"UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air"

"For shipments originating in ZIP Codes 450-01 to 452-99.  To determine zone"
"take the first three digits of the receiver's ZIP Code and refer to the chart below:"

"ZONES"
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,4,304,204,244,134,104
006-007,-,-,225,-,-,125
008,-,-,[1],-,-,[1]
009,-,-,225,-,-,125
010-067,5,305,205,245,135,105
068-089,4,304,204,244,134,104
090-099,-,-,-,-,-,-
100-118,4,304,204,244,134,104
119-123,5,305,205,245,135,105
124-127,4,304,204,244,134,104
128-129,5,305,205,245,135,105
130-149,4,304,204,244,134,104
150-157,3,303,203,243,133,103
158-159,4,304,204,244,134,104
160-165,3,303,203,243,133,103
166-199,4,304,204,244,134,104
200-239,4,304,204,244,134,104
240-244,3,303,203,243,133,103
245,4,304,204,244,134,104
246-253,3,303,203,243,133,103
254,4,304,204,244,134,104
255-257,2,302,202,242,132,102
258-260,3,303,203,243,133,103
261,2,302,202,242,132,102
262-266,3,303,203,243,133,103
267,4,304,204,244,134,104
268,3,303,203,-,-,103
270,4,304,204,244,134,104
271,3,303,203,243,133,103
272-285,4,304,204,244,134,104
286-289,3,303,203,243,133,103
290-299,4,304,204,244,134,104
300-306,4,304,204,244,134,104
307,3,303,203,243,133,103
308-319,4,304,204,244,134,104
320-339,5,305,205,245,135,105
340,-,-,-,-,-,-
341-349,5,305,205,245,135,105
350-369,4,304,204,244,134,104
370-374,3,303,203,243,133,103
375,4,304,204,-,-,104
376-379,3,303,203,243,133,103
380-381,4,304,204,244,134,104
382,3,303,203,243,133,103
383,4,304,204,244,134,104
384-385,3,303,203,243,133,103
386-394,4,304,204,244,134,104
395,5,305,205,245,135,105
396-399,4,304,204,244,134,104
400-406,2,302,202,242,132,102
407-409,3,303,203,-,133,103
410-414,2,302,202,242,132,102
415-416,3,303,203,-,133,103
417-418,2,302,202,242,132,102
420-422,3,303,203,243,133,103
423,2,302,202,242,132,102
424,3,303,203,243,133,103
425-433,2,302,202,242,132,102
434-436,3,303,203,243,133,103
437-438,2,302,202,242,132,102
439-447,3,303,203,243,133,103
448-462,2,302,202,242,132,102
463-466,3,303,203,243,133,103
467-475,2,302,202,242,132,102
476-477,3,303,203,243,133,103
478-479,2,302,202,242,132,102
480-495,3,303,203,243,133,103
496-499,4,304,204,244,134,104
500-509,4,304,204,244,134,104
510-512,5,305,205,245,135,105
513-528,4,304,204,244,134,104
530-534,3,303,203,243,133,103
535-555,4,304,204,244,134,104
556-558,5,305,205,245,135,105
559-560,4,304,204,244,134,104
561-585,5,305,205,245,135,105
586-593,6,306,206,246,136,106
594,7,307,207,247,137,107
595,6,306,206,-,-,106
596-599,7,307,207,247,137,107
600-611,3,303,203,243,133,103
612,4,304,204,244,134,104
613-622,3,303,203,243,133,103
623,4,304,204,244,134,104
624-633,3,303,203,243,133,103
634-636,4,304,204,244,134,104
637,3,303,203,243,133,103
638-667,4,304,204,244,134,104
668-672,5,305,205,245,135,105
673,4,304,204,244,134,104
674-693,5,305,205,245,135,105
700-711,5,305,205,245,135,105
712,4,304,204,244,134,104
713-714,5,305,205,245,135,105
716-717,4,304,204,244,134,104
718,5,305,205,245,135,105
719-729,4,304,204,244,134,104
730-742,5,305,205,245,135,105
743,4,304,204,244,134,104
744-748,5,305,205,245,135,105
749,4,304,204,-,134,104
750-768,5,305,205,245,135,105
769,6,306,206,246,136,106
770-779,5,305,205,245,135,105
780-785,6,306,206,246,136,106
786-787,5,305,205,245,135,105
788,6,306,206,246,136,106
789-796,5,305,205,245,135,105
797-799,6,306,206,246,136,106
800-806,6,306,206,246,136,106
