DestZip,Priority,Book,bmc
005-005,4,4,0
006-009,7,7,0
010-067,5,5,0
068-119,4,4,0
120-123,5,5,0
124-127,4,4,0
128-129,5,5,0
130-149,4,4,0
150-154,3,3,0
155-155,4,4,0
156-156,3,3,0
157-159,4,4,0
160-165,3,3,0
166-212,4,4,0
214-239,4,4,0
240-243,3,3,0
244-245,4,4,0
246-249,3,3,0
250-253,3,3,1
254-254,4,4,0
255-257,2,2,1
258-259,3,3,1
260-260,3,3,0
261-261,2,2,0
262-266,3,3,0
267-267,4,4,0
268-268,3,3,0
270-285,4,4,0
286-289,3,3,0
290-306,4,4,0
307-307,3,3,0
308-319,4,4,0
320-342,5,5,0
344-344,5,5,0
346-347,5,5,0
349-349,5,5,0
350-352,4,4,0
354-369,4,4,0
370-374,3,3,0
375-375,4,4,0
376-379,3,3,0
380-381,4,4,0
382-382,3,3,0
383-383,4,4,0
384-385,3,3,0
386-394,4,4,0
395-395,5,5,0
396-399,4,4,0
400-406,2,2,1
407-409,3,3,1
410-410,1,1,1
411-414,2,2,1
415-416,3,3,1
417-418,2,2,1
420-420,3,3,0
421-422,3,3,1
423-423,2,2,0
424-424,3,3,0
425-427,2,2,1
430-433,2,2,1
434-436,3,3,0
437-438,2,2,1
439-447,3,3,0
448-449,2,2,1
450-455,1,1,1
456-458,2,2,1
459-459,1,1,1
460-462,2,2,1
463-466,3,3,0
467-468,2,2,0
469-469,2,2,1
470-470,1,1,1
471-471,2,2,1
472-472,1,1,1
473-474,2,2,1
475-475,2,2,0
476-477,3,3,0
478-479,2,2,0
480-495,3,3,0
496-509,4,4,0
510-513,5,5,0
514-514,4,4,0
515-516,5,5,0
520-528,4,4,0
530-532,3,3,0
534-534,3,3,0
535-535,4,4,0
537-555,4,4,0
556-558,5,5,0
559-561,4,4,0
562-567,5,5,0
570-577,5,5,0
580-586,5,5,0
587-588,6,6,0
590-593,6,6,0
594-594,7,7,0
595-595,6,6,0
596-599,7,7,0
600-611,3,3,0
612-612,4,4,0
613-620,3,3,0
622-622,3,3,0
623-623,4,4,0
624-633,3,3,0
634-635,4,4,0
636-639,3,3,0
640-642,4,4,0
644-658,4,4,0
660-668,4,4,0
669-672,5,5,0
673-673,4,4,0
674-681,5,5,0
683-693,5,5,0
700-701,5,5,0
703-708,5,5,0
710-711,5,5,0
712-712,4,4,0
713-714,5,5,0
716-717,4,4,0
718-718,5,5,0
719-729,4,4,0
730-731,5,5,0
733-741,5,5,0
743-748,5,5,0
749-749,4,4,0
750-768,5,5,0
769-769,6,6,0
770-779,5,5,0
780-785,6,6,0
786-787,5,5,0
788-788,6,6,0
789-796,5,5,0
797-816,6,6,0
820-831,6,6,0
832-838,7,7,0
840-844,7,7,0
845-847,6,6,0
850-850,7,7,0
852-853,7,7,0
855-857,7,7,0
859-860,7,7,0
863-864,7,7,0
865-865,6,6,0
870-875,6,6,0
877-885,6,6,0
889-891,7,7,0
893-893,7,7,0
894-895,8,8,0
897-897,8,8,0
898-898,7,7,0
900-908,8,8,0
910-928,8,8,0
930-977,8,8,0
978-979,7,7,0
980-986,8,8,0
988-989,8,8,0
990-994,7,7,0
995-999,8,8,0
