weight	all
1	1.59
2	2.07
3	2.55
4	3.03
5	3.51
6	3.99
7	4.47
8	4.81
9	5.15
10	5.49
11	5.83
12	6.17
13	6.51
14	6.85
15	7.19
16	7.53
17	7.87
18	8.21
19	8.55
20	8.89
21	9.23
22	9.57
23	9.91
24	10.25
25	10.59
26	10.93
27	11.27
28	11.61
29	11.95
30	12.29
31	12.63
32	12.97
33	13.31
34	13.65
35	13.99
36	14.33
37	14.67
38	15.01
39	15.35
40	15.69
41	16.03
42	16.37
43	16.71
44	17.05
45	17.39
46	17.73
47	18.07
48	18.41
49	18.75
50	19.09
51	19.43
52	19.77
53	20.11
54	20.45
55	20.79
56	21.13
57	21.47
58	21.81
59	22.15
60	22.49
61	22.83
62	23.17
63	23.51
64	23.85
65	24.19
66	24.53
67	24.87
68	25.21
69	25.55
70	25.89
