WeightNotToExceed,102,103,104,105,106,107,108,124,125,126,res
Letter,12.75,14.25,15,15.5,16,16.75,17.25,17.5,17.5,23.75,1.15
1,14.75,17.5,20.75,22.5,24.5,25.75,26.25,27.75,27.75,39.75,1.15
2,15.75,18.75,23.25,25.25,27.5,28.5,29,31,31,43,1.15
3,17.25,19.75,25.75,27.75,30.5,31.5,32.25,34,34,46,1.15
4,18.25,20.75,28.25,30.5,33.25,34.25,35,37,37,49,1.15
5,19.25,22,30.5,33,36,37,38,39.75,39.75,51.75,1.15
6,20,23,32.75,35.5,38.75,40,41,42.5,42.5,54.5,1.15
7,20.75,24.5,35,38.25,41.75,42.75,43.75,45,45,57.25,1.15
8,21.5,25.75,37.25,40.75,44.75,45.75,46.5,47.75,47.75,59.75,1.15
9,22.25,27,39.75,43.25,47.75,48.75,49.5,50.25,50.25,62.5,1.15
10,23,28.25,42,45.75,50.25,51.5,52.5,52.75,52.75,65,1.15
11,23.75,29.5,44.25,48,52.75,54.5,55.25,55.5,55.5,67.5,1.15
12,24.5,30.5,46.5,50.5,55.25,57.25,58,58.25,58.25,70.25,1.15
13,25.25,31.5,48.75,52.75,57.5,59.75,60.5,61,61,72.75,1.15
14,26,32.75,50.75,55,59.75,62.25,63,63.5,63.5,75,1.15
15,26.75,34,52.75,57.25,62,64.25,65.5,65.75,65.75,77.25,1.15
16,27.75,35,54.25,59,63.75,65.75,67.5,67.75,67.75,79.5,1.15
17,28.5,36,55.75,60.75,65.5,67.25,69.5,69.75,69.75,81.5,1.15
18,29.25,36.75,57.25,62.25,67,68.75,71.5,71.75,71.75,83.5,1.15
19,30,37.5,58.75,63.75,68.5,70.5,73.5,73.75,73.75,85.5,1.15
20,30.75,38.25,60.25,65.5,70.25,72.25,75.25,75.5,75.5,87.5,1.15
21,31.5,39,61.75,67.25,72,74,77,77.25,77.25,89.25,1.15
22,32.25,39.75,63.5,68.75,73.75,75.75,78.75,79,79,91,1.15
23,33,40.75,65.25,70.5,75.5,77.5,80.5,80.75,80.75,92.75,1.15
24,33.75,41.75,67,72.25,77.25,79.25,82.25,82.5,82.5,94.5,1.15
25,34.5,42.75,68.5,74,79,81,84,84.25,84.25,96.25,1.15
26,35.5,43.75,70.25,75.75,80.75,82.75,85.75,86,86,98,1.15
27,36.25,44.5,72,77.5,82.5,84.5,87.5,87.75,87.75,99.75,1.15
28,37,45.25,73.75,79.25,84.25,86.25,89.25,89.5,89.5,101.75,1.15
29,37.75,46,75.5,81.25,86.25,88,91,91.5,91.5,103.75,1.15
30,38.75,46.75,77.25,83.25,88.25,89.75,93,93.5,93.5,105.75,1.15
31,39.75,47.75,79,85.25,90.25,91.75,95,95.5,95.5,107.75,1.15
32,40.5,48.75,80.75,87.25,92.25,93.75,97,97.5,97.5,109.75,1.15
33,41.5,50,82.5,89.25,94.25,95.75,99,99.5,99.5,111.75,1.15
34,42.5,51.25,84.25,91.25,96.25,98,101.25,101.5,101.5,113.75,1.15
35,43.25,52.25,86,93.25,98.25,100.25,103.5,103.75,103.75,116,1.15
36,44,53.25,87.75,95.25,100.25,102.5,105.75,106,106,118.25,1.15
37,44.75,54,89.5,97.25,102.25,104.75,108,108.25,108.25,120.5,1.15
38,45.5,54.75,91.25,99.25,104.25,107,110.25,110.5,110.5,122.75,1.15
39,46.25,55.75,93,101.25,106.25,109.25,112.5,112.75,112.75,125,1.15
40,47,56.75,94.75,103.25,108.25,111.25,114.75,115,115,127.25,1.15
41,47.75,57.75,96.5,105.25,110.5,113.25,117,117.25,117.25,129.5,1.15
42,48.5,58.75,98.25,107,112.75,115.25,119.25,119.5,119.5,131.75,1.15
43,49.25,59.75,100.25,108.75,114.75,117.25,121.5,121.75,121.75,134,1.15
44,50.25,60.75,102.25,110.5,116.75,119.25,123.75,124,124,136.25,1.15
45,51.25,61.75,104,112.25,118.75,121.25,126,126.25,126.25,138.25,1.15
46,52.25,63,105.75,114,120.75,123.25,128,128.5,128.5,140.25,1.15
47,53.25,64.25,107.5,115.75,123,125.25,130,130.5,130.5,142.25,1.15
48,54,65.5,109.25,117.5,125.25,127.5,132,132.5,132.5,144.25,1.15
49,54.75,66.75,111,119.25,127.5,129.75,134,134.5,134.5,146.25,1.15
50,55.75,68,112.75,121,129.5,132,136.25,136.75,136.75,148.5,1.15
51,56.75,69.5,114.5,122.75,131.5,134.25,138.5,139,139,151,1.15
52,57.75,71,116.25,124.5,133.5,136.5,141,141.25,141.25,153.5,1.15
53,58.75,72.5,118,126.25,135.5,138.75,143.5,143.75,143.75,156,1.15
54,59.75,74,119.75,128,137.75,141,146,146.25,146.25,158.5,1.15
55,60.75,75.5,121.5,129.75,140,143.5,148.5,148.75,148.75,161,1.15
56,61.75,77,123.25,131.5,142.25,146,151,151.25,151.25,163.5,1.15
57,63,78.5,125.25,133.5,144.5,148.5,153.5,153.75,153.75,166,1.15
58,64.25,80,127.25,135.5,146.75,151,156.25,156.5,156.5,168.75,1.15
59,65.25,81.5,129.25,137.5,149,153.5,159,159.25,159.25,171.5,1.15
60,66.5,83,131.25,139.75,151.25,156,161.75,162,162,174.25,1.15
61,67.75,84.5,133.25,142,153.75,158.5,164.5,164.75,164.75,177,1.15
62,69.25,86.25,135.25,144.5,156.25,161.25,167.25,167.75,167.75,179.75,1.15
63,70.5,88,137.25,147,158.75,164,170.25,170.75,170.75,182.75,1.15
64,71.75,89.75,139.25,149.5,161.5,166.75,173.25,173.75,173.75,185.75,1.15
65,73,91.5,141.25,152,164.25,169.5,176.25,176.75,176.75,188.75,1.15
66,74.25,93.25,143.5,154.5,166.75,172.5,179.25,179.75,179.75,191.75,1.15
67,75.5,95,145.75,157,169.25,175.5,182.25,182.75,182.75,194.75,1.15
68,77,96.75,148,159.5,171.75,178.5,185.25,185.75,185.75,197.75,1.15
69,78.5,98.5,150.25,162,174.25,181.5,188.25,188.75,188.75,200.75,1.15
70,80,100.25,152.5,164.5,176.75,184.5,191.25,191.75,191.75,203.75,1.15
71,81.25,102,154.75,167,179.5,187.5,194.25,195,195,206.75,1.15
72,82.5,103.5,157,169.5,182.25,190.5,197.25,198,198,209.75,1.15
73,84,105,159.25,172,185,193.5,200.25,201,201,212.75,1.15
74,85.5,106.75,161.75,174.5,187.75,196.5,203.5,204,204,215.75,1.15
75,86.75,108.75,164.25,177,190.5,199.5,206.75,207,207,218.75,1.15
76,88.25,110.75,166.75,179.5,193.25,202.25,209.75,210,210,221.75,1.15
77,89.75,112.75,169.25,182,196,205,212.75,213,213,224.75,1.15
78,91.25,114.75,171.75,184.5,198.75,207.75,215.75,216,216,227.75,1.15
79,92.75,116.75,174.25,187,201.5,210.5,218.75,219,219,230.75,1.15
80,94.25,118.75,176.75,189.5,204.25,213.25,221.75,222,222,233.75,1.15
81,95.75,120.75,179.25,192,207,216,224.75,225,225,236.75,1.15
82,97.25,122.75,181.75,194.5,209.75,218.75,227.75,228,228,239.75,1.15
83,98.75,124.75,184.25,197,212.5,221.5,230.5,231,231,242.75,1.15
84,100.25,126.75,186.75,199.5,215.25,224.25,233.25,234,234,245.75,1.15
85,101.5,128.75,189.25,202,218,227,236,236.75,236.75,248.75,1.15
86,102.75,130.75,191.75,204.5,220.5,229.75,238.75,239.5,239.5,251.75,1.15
87,104,132.75,194.25,207,223,232.5,241.5,242.25,242.25,254.75,1.15
88,105.25,134.75,196.75,209.5,225.75,235.25,244.25,245,245,257.75,1.15
89,106.5,136.75,199.25,212,228.5,238,247,247.75,247.75,260.5,1.15
90,107.75,138.75,201.75,214.5,231.25,241,249.75,250.5,250.5,263.25,1.15
91,109.25,140.5,204,217,234,244,252.75,253.5,253.5,266,1.15
92,110.75,142.25,206.25,219.5,236.75,246.75,255.75,256.5,256.5,268.75,1.15
93,112,144,208.5,221.75,239.5,249.5,258.75,259.5,259.5,271.5,1.15
94,113.25,145.75,210.75,224,242,252.25,261.75,262.5,262.5,274.25,1.15
95,114.75,147.5,213,226.25,244.5,255,264.75,265.25,265.25,277,1.15
96,116,149.25,215.25,228.5,247,257.75,267.75,268,268,279.75,1.15
97,117.25,151,217.5,230.75,249.5,260.5,270.5,270.75,270.75,282.5,1.15
98,118.5,152.75,219.5,233,252,263,273.25,273.5,273.5,285.25,1.15
99,119.75,154.5,221.5,235.25,254.5,265.5,276,276.25,276.25,288,1.15
100,121,156,223.5,237.5,257,268,278.75,279,279,290.75,1.15
101,122.25,157.5,225.5,239.75,259.5,270.5,281.5,281.75,281.75,293.5,1.15
102,123.5,159,227.5,242,262,273,284.25,284.5,284.5,296.25,1.15
103,124.75,160.5,229.5,244.25,264.5,275.5,287,287.25,287.25,299,1.15
104,126,162.25,231.5,246.5,267,278,289.75,290,290,301.75,1.15
105,127.25,164,233.75,248.75,269.5,280.5,292.5,292.75,292.75,304.5,1.15
106,128.75,165.75,236,251,272,283,295.25,295.5,295.5,307.25,1.15
107,130.25,167.25,238.25,253.5,274.5,285.5,298,298.25,298.25,310,1.15
108,131.5,168.75,240.5,256,277,288.25,300.75,301,301,312.75,1.15
109,132.75,170.5,242.75,258.25,279.5,291,303.5,303.75,303.75,315.5,1.15
110,134,172.25,245,260.5,282,293.75,306.25,306.5,306.5,318.25,1.15
111,135.25,174,247.25,263,284.75,296.5,309,309.25,309.25,321,1.15
112,136.5,175.75,249.5,265.5,287.5,299.25,311.75,312,312,323.75,1.15
113,137.75,177.5,251.75,268,290.25,302,314.5,314.75,314.75,326.5,1.15
114,139,179,254,270.5,293,304.75,317.25,317.5,317.5,329.25,1.15
115,140.25,180.5,256,273,295.75,307.5,320,320.25,320.25,332,1.15
116,141.5,182,258.25,275.25,298.25,310,322.75,323,323,334.75,1.15
117,142.75,183.5,260.5,277.5,300.75,312.5,325.5,325.75,325.75,337.5,1.15
118,144.25,185.25,262.75,279.75,303.25,315,328.25,328.5,328.5,340.25,1.15
119,145.75,187,265,282,305.75,317.5,331,331.25,331.25,343,1.15
120,147,188.75,267.25,284.25,308.25,320,333.75,334,334,345.75,1.15
121,148,190.25,269.5,286.5,310.75,322.75,336.5,336.75,336.75,348.5,1.15
122,149,191.75,271.75,288.75,313.5,325.5,339.25,339.5,339.5,351.25,1.15
123,150.25,193.25,274,291,316.25,328.25,342,342.25,342.25,354,1.15
124,151.5,194.75,276.25,293.25,318.75,331,344.75,345,345,356.75,1.15
125,152.75,196.5,278.25,295.5,321.25,333.75,347.5,347.75,347.75,359.5,1.15
126,154,198.25,280.5,297.75,323.75,336.5,350.25,350.5,350.5,362.25,1.15
127,155,200,282.75,300.25,326.25,339.25,353,353.25,353.25,365,1.15
128,156,201.75,285,302.75,328.75,342,355.75,356,356,367.75,1.15
129,157.25,203.25,287.25,305.25,331.25,344.75,358.5,358.75,358.75,370.5,1.15
130,158.5,204.75,289.5,307.75,333.75,347.5,361.25,361.5,361.5,373.25,1.15
131,159.75,206.5,291.75,310.25,336.25,350.25,364,364.25,364.25,376,1.15
132,161,208.25,294,312.75,338.75,353,366.75,367,367,378.75,1.15
133,162.25,210,296.25,315.25,341.25,355.75,369.5,369.75,369.75,381.5,1.15
134,163.25,211.75,298.5,317.75,343.75,358.5,372.25,372.5,372.5,384.25,1.15
135,164.25,213.25,300.75,320,346.25,361.25,375,375.25,375.25,387,1.15
136,165.25,214.75,303,322.25,348.75,364,377.75,378,378,389.75,1.15
137,166.25,216,305.25,324.5,351.25,366.75,380.5,380.75,380.75,392.5,1.15
138,167,217.25,307.5,326.75,354,369.5,383.25,383.5,383.5,395.25,1.15
139,167.75,218.5,309.5,329,356.75,372.25,386,386.25,386.25,398,1.15
140,168.5,219.75,311.5,331.25,359.5,375,388.75,389,389,400.75,1.15
141,169.25,221,313.5,333.5,362.25,377.75,391.5,391.75,391.75,403.5,1.15
142,170,222.25,315.5,335.75,365,380.5,394.25,394.5,394.5,406.25,1.15
143,170.75,223.5,317.25,338,367.75,383.25,397,397.25,397.25,409,1.15
144,171.5,224.5,319,340.25,370.5,386,399.75,400,400,411.75,1.15
145,172.25,225.5,320.75,342.5,373.25,388.75,402.5,402.75,402.75,414.5,1.15
146,173,226.5,322.5,344.75,375.75,391.5,405.25,405.5,405.5,417.25,1.15
147,173.75,227.5,324.25,347,378.25,394.25,408,408.25,408.25,420,1.15
148,174.5,228.5,326,349.25,380.75,397,410.75,411,411,422.75,1.15
149,175.25,229.5,327.75,351.5,383.25,399.75,413.5,413.75,413.75,425.5,1.15
150,176,230.5,329.5,353.75,385.75,402.5,416.25,416.5,416.5,428.25,1.15
151,196.3,253.68,359.38,425.82,456.02,481.69,499.81
152,197.6,255.36,361.76,428.64,459.04,484.88,503.12
153,198.9,257.04,364.14,431.46,462.06,488.07,506.43
154,200.2,258.72,366.52,434.28,465.08,491.26,509.74
155,201.5,260.4,368.9,437.1,468.1,494.45,513.05
156,202.8,262.08,371.28,439.92,471.12,497.64,516.36
157,204.1,263.76,373.66,442.74,474.14,500.83,519.67
158,205.4,265.44,376.04,445.56,477.16,504.02,522.98
159,206.7,267.12,378.42,448.38,480.18,507.21,526.29
160,208,268.8,380.8,451.2,483.2,510.4,529.6
161,209.3,270.48,383.18,454.02,486.22,513.59,532.91
162,210.6,272.16,385.56,456.84,489.24,516.78,536.22
163,211.9,273.84,387.94,459.66,492.26,519.97,539.53
164,213.2,275.52,390.32,462.48,495.28,523.16,542.84
165,214.5,277.2,392.7,465.3,498.3,526.35,546.15
166,215.8,278.88,395.08,468.12,501.32,529.54,549.46
167,217.1,280.56,397.46,470.94,504.34,532.73,552.77
168,218.4,282.24,399.84,473.76,507.36,535.92,556.08
169,219.7,283.92,402.22,476.58,510.38,539.11,559.39
170,221,285.6,404.6,479.4,513.4,542.3,562.7
171,222.3,287.28,406.98,482.22,516.42,545.49,566.01
172,223.6,288.96,409.36,485.04,519.44,548.68,569.32
173,224.9,290.64,411.74,487.86,522.46,551.87,572.63
174,226.2,292.32,414.12,490.68,525.48,555.06,575.94
175,227.5,294,416.5,493.5,528.5,558.25,579.25
176,228.8,295.68,418.88,496.32,531.52,561.44,582.56
177,230.1,297.36,421.26,499.14,534.54,564.63,585.87
178,231.4,299.04,423.64,501.96,537.56,567.82,589.18
179,232.7,300.72,426.02,504.78,540.58,571.01,592.49
180,234,302.4,428.4,507.6,543.6,574.2,595.8
181,235.3,304.08,430.78,510.42,546.62,577.39,599.11
182,236.6,305.76,433.16,513.24,549.64,580.58,602.42
183,237.9,307.44,435.54,516.06,552.66,583.77,605.73
184,239.2,309.12,437.92,518.88,555.68,586.96,609.04
185,240.5,310.8,440.3,521.7,558.7,590.15,612.35
186,241.8,312.48,442.68,524.52,561.72,593.34,615.66
187,243.1,314.16,445.06,527.34,564.74,596.53,618.97
188,244.4,315.84,447.44,530.16,567.76,599.72,622.28
189,245.7,317.52,449.82,532.98,570.78,602.91,625.59
190,247,319.2,452.2,535.8,573.8,606.1,628.9
191,248.3,320.88,454.58,538.62,576.82,609.29,632.21
192,249.6,322.56,456.96,541.44,579.84,612.48,635.52
193,250.9,324.24,459.34,544.26,582.86,615.67,638.83
194,252.2,325.92,461.72,547.08,585.88,618.86,642.14
195,253.5,327.6,464.1,549.9,588.9,622.05,645.45
196,254.8,329.28,466.48,552.72,591.92,625.24,648.76
197,256.1,330.96,468.86,555.54,594.94,628.43,652.07
198,257.4,332.64,471.24,558.36,597.96,631.62,655.38
199,258.7,334.32,473.62,561.18,600.98,634.81,658.69
200,260,336,476,564,604,638,662
201,261.3,337.68,478.38,566.82,607.02,641.19,665.31
202,262.6,339.36,480.76,569.64,610.04,644.38,668.62
203,263.9,341.04,483.14,572.46,613.06,647.57,671.93
204,265.2,342.72,485.52,575.28,616.08,650.76,675.24
205,266.5,344.4,487.9,578.1,619.1,653.95,678.55
206,267.8,346.08,490.28,580.92,622.12,657.14,681.86
207,269.1,347.76,492.66,583.74,625.14,660.33,685.17
208,270.4,349.44,495.04,586.56,628.16,663.52,688.48
209,271.7,351.12,497.42,589.38,631.18,666.71,691.79
210,273,352.8,499.8,592.2,634.2,669.9,695.1
211,274.3,354.48,502.18,595.02,637.22,673.09,698.41
212,275.6,356.16,504.56,597.84,640.24,676.28,701.72
213,276.9,357.84,506.94,600.66,643.26,679.47,705.03
214,278.2,359.52,509.32,603.48,646.28,682.66,708.34
215,279.5,361.2,511.7,606.3,649.3,685.85,711.65
216,280.8,362.88,514.08,609.12,652.32,689.04,714.96
217,282.1,364.56,516.46,611.94,655.34,692.23,718.27
218,283.4,366.24,518.84,614.76,658.36,695.42,721.58
219,284.7,367.92,521.22,617.58,661.38,698.61,724.89
220,286,369.6,523.6,620.4,664.4,701.8,728.2
221,287.3,371.28,525.98,623.22,667.42,704.99,731.51
222,288.6,372.96,528.36,626.04,670.44,708.18,734.82
223,289.9,374.64,530.74,628.86,673.46,711.37,738.13
224,291.2,376.32,533.12,631.68,676.48,714.56,741.44
225,292.5,378,535.5,634.5,679.5,717.75,744.75
226,293.8,379.68,537.88,637.32,682.52,720.94,748.06
227,295.1,381.36,540.26,640.14,685.54,724.13,751.37
228,296.4,383.04,542.64,642.96,688.56,727.32,754.68
229,297.7,384.72,545.02,645.78,691.58,730.51,757.99
230,299,386.4,547.4,648.6,694.6,733.7,761.3
231,300.3,388.08,549.78,651.42,697.62,736.89,764.61
232,301.6,389.76,552.16,654.24,700.64,740.08,767.92
233,302.9,391.44,554.54,657.06,703.66,743.27,771.23
234,304.2,393.12,556.92,659.88,706.68,746.46,774.54
235,305.5,394.8,559.3,662.7,709.7,749.65,777.85
236,306.8,396.48,561.68,665.52,712.72,752.84,781.16
237,308.1,398.16,564.06,668.34,715.74,756.03,784.47
238,309.4,399.84,566.44,671.16,718.76,759.22,787.78
239,310.7,401.52,568.82,673.98,721.78,762.41,791.09
240,312,403.2,571.2,676.8,724.8,765.6,794.4
241,313.3,404.88,573.58,679.62,727.82,768.79,797.71
242,314.6,406.56,575.96,682.44,730.84,771.98,801.02
243,315.9,408.24,578.34,685.26,733.86,775.17,804.33
244,317.2,409.92,580.72,688.08,736.88,778.36,807.64
245,318.5,411.6,583.1,690.9,739.9,781.55,810.95
246,319.8,413.28,585.48,693.72,742.92,784.74,814.26
247,321.1,414.96,587.86,696.54,745.94,787.93,817.57
248,322.4,416.64,590.24,699.36,748.96,791.12,820.88
249,323.7,418.32,592.62,702.18,751.98,794.31,824.19
250,325,420,595,705,755,797.5,827.5
251,326.3,421.68,597.38,707.82,758.02,800.69,830.81
252,327.6,423.36,599.76,710.64,761.04,803.88,834.12
253,328.9,425.04,602.14,713.46,764.06,807.07,837.43
254,330.2,426.72,604.52,716.28,767.08,810.26,840.74
255,331.5,428.4,606.9,719.1,770.1,813.45,844.05
256,332.8,430.08,609.28,721.92,773.12,816.64,847.36
257,334.1,431.76,611.66,724.74,776.14,819.83,850.67
258,335.4,433.44,614.04,727.56,779.16,823.02,853.98
259,336.7,435.12,616.42,730.38,782.18,826.21,857.29
260,338,436.8,618.8,733.2,785.2,829.4,860.6
261,339.3,438.48,621.18,736.02,788.22,832.59,863.91
262,340.6,440.16,623.56,738.84,791.24,835.78,867.22
263,341.9,441.84,625.94,741.66,794.26,838.97,870.53
264,343.2,443.52,628.32,744.48,797.28,842.16,873.84
265,344.5,445.2,630.7,747.3,800.3,845.35,877.15
266,345.8,446.88,633.08,750.12,803.32,848.54,880.46
267,347.1,448.56,635.46,752.94,806.34,851.73,883.77
268,348.4,450.24,637.84,755.76,809.36,854.92,887.08
269,349.7,451.92,640.22,758.58,812.38,858.11,890.39
270,351,453.6,642.6,761.4,815.4,861.3,893.7
271,352.3,455.28,644.98,764.22,818.42,864.49,897.01
272,353.6,456.96,647.36,767.04,821.44,867.68,900.32
273,354.9,458.64,649.74,769.86,824.46,870.87,903.63
274,356.2,460.32,652.12,772.68,827.48,874.06,906.94
275,357.5,462,654.5,775.5,830.5,877.25,910.25
276,358.8,463.68,656.88,778.32,833.52,880.44,913.56
277,360.1,465.36,659.26,781.14,836.54,883.63,916.87
278,361.4,467.04,661.64,783.96,839.56,886.82,920.18
279,362.7,468.72,664.02,786.78,842.58,890.01,923.49
280,364,470.4,666.4,789.6,845.6,893.2,926.8
281,365.3,472.08,668.78,792.42,848.62,896.39,930.11
282,366.6,473.76,671.16,795.24,851.64,899.58,933.42
283,367.9,475.44,673.54,798.06,854.66,902.77,936.73
284,369.2,477.12,675.92,800.88,857.68,905.96,940.04
285,370.5,478.8,678.3,803.7,860.7,909.15,943.35
286,371.8,480.48,680.68,806.52,863.72,912.34,946.66
287,373.1,482.16,683.06,809.34,866.74,915.53,949.97
288,374.4,483.84,685.44,812.16,869.76,918.72,953.28
289,375.7,485.52,687.82,814.98,872.78,921.91,956.59
290,377,487.2,690.2,817.8,875.8,925.1,959.9
291,378.3,488.88,692.58,820.62,878.82,928.29,963.21
292,379.6,490.56,694.96,823.44,881.84,931.48,966.52
293,380.9,492.24,697.34,826.26,884.86,934.67,969.83
294,382.2,493.92,699.72,829.08,887.88,937.86,973.14
295,383.5,495.6,702.1,831.9,890.9,941.05,976.45
296,384.8,497.28,704.48,834.72,893.92,944.24,979.76
297,386.1,498.96,706.86,837.54,896.94,947.43,983.07
298,387.4,500.64,709.24,840.36,899.96,950.62,986.38
299,388.7,502.32,711.62,843.18,902.98,953.81,989.69
300,390,504,714,846,906,957,993
301,391.3,505.68,716.38,848.82,909.02,960.19,996.31
302,392.6,507.36,718.76,851.64,912.04,963.38,999.62
303,393.9,509.04,721.14,854.46,915.06,966.57,1002.93
304,395.2,510.72,723.52,857.28,918.08,969.76,1006.24
305,396.5,512.4,725.9,860.1,921.1,972.95,1009.55
306,397.8,514.08,728.28,862.92,924.12,976.14,1012.86
307,399.1,515.76,730.66,865.74,927.14,979.33,1016.17
308,400.4,517.44,733.04,868.56,930.16,982.52,1019.48
309,401.7,519.12,735.42,871.38,933.18,985.71,1022.79
310,403,520.8,737.8,874.2,936.2,988.9,1026.1
311,404.3,522.48,740.18,877.02,939.22,992.09,1029.41
312,405.6,524.16,742.56,879.84,942.24,995.28,1032.72
313,406.9,525.84,744.94,882.66,945.26,998.47,1036.03
314,408.2,527.52,747.32,885.48,948.28,1001.66,1039.34
315,409.5,529.2,749.7,888.3,951.3,1004.85,1042.65
316,410.8,530.88,752.08,891.12,954.32,1008.04,1045.96
317,412.1,532.56,754.46,893.94,957.34,1011.23,1049.27
318,413.4,534.24,756.84,896.76,960.36,1014.42,1052.58
319,414.7,535.92,759.22,899.58,963.38,1017.61,1055.89
320,416,537.6,761.6,902.4,966.4,1020.8,1059.2
321,417.3,539.28,763.98,905.22,969.42,1023.99,1062.51
322,418.6,540.96,766.36,908.04,972.44,1027.18,1065.82
323,419.9,542.64,768.74,910.86,975.46,1030.37,1069.13
324,421.2,544.32,771.12,913.68,978.48,1033.56,1072.44
325,422.5,546,773.5,916.5,981.5,1036.75,1075.75
326,423.8,547.68,775.88,919.32,984.52,1039.94,1079.06
327,425.1,549.36,778.26,922.14,987.54,1043.13,1082.37
328,426.4,551.04,780.64,924.96,990.56,1046.32,1085.68
329,427.7,552.72,783.02,927.78,993.58,1049.51,1088.99
330,429,554.4,785.4,930.6,996.6,1052.7,1092.3
331,430.3,556.08,787.78,933.42,999.62,1055.89,1095.61
332,431.6,557.76,790.16,936.24,1002.64,1059.08,1098.92
333,432.9,559.44,792.54,939.06,1005.66,1062.27,1102.23
334,434.2,561.12,794.92,941.88,1008.68,1065.46,1105.54
335,435.5,562.8,797.3,944.7,1011.7,1068.65,1108.85
336,436.8,564.48,799.68,947.52,1014.72,1071.84,1112.16
337,438.1,566.16,802.06,950.34,1017.74,1075.03,1115.47
338,439.4,567.84,804.44,953.16,1020.76,1078.22,1118.78
339,440.7,569.52,806.82,955.98,1023.78,1081.41,1122.09
340,442,571.2,809.2,958.8,1026.8,1084.6,1125.4
341,443.3,572.88,811.58,961.62,1029.82,1087.79,1128.71
342,444.6,574.56,813.96,964.44,1032.84,1090.98,1132.02
343,445.9,576.24,816.34,967.26,1035.86,1094.17,1135.33
344,447.2,577.92,818.72,970.08,1038.88,1097.36,1138.64
345,448.5,579.6,821.1,972.9,1041.9,1100.55,1141.95
346,449.8,581.28,823.48,975.72,1044.92,1103.74,1145.26
347,451.1,582.96,825.86,978.54,1047.94,1106.93,1148.57
348,452.4,584.64,828.24,981.36,1050.96,1110.12,1151.88
349,453.7,586.32,830.62,984.18,1053.98,1113.31,1155.19
350,455,588,833,987,1057,1116.5,1158.5
351,456.3,589.68,835.38,989.82,1060.02,1119.69,1161.81
352,457.6,591.36,837.76,992.64,1063.04,1122.88,1165.12
353,458.9,593.04,840.14,995.46,1066.06,1126.07,1168.43
354,460.2,594.72,842.52,998.28,1069.08,1129.26,1171.74
355,461.5,596.4,844.9,1001.1,1072.1,1132.45,1175.05
356,462.8,598.08,847.28,1003.92,1075.12,1135.64,1178.36
357,464.1,599.76,849.66,1006.74,1078.14,1138.83,1181.67
358,465.4,601.44,852.04,1009.56,1081.16,1142.02,1184.98
359,466.7,603.12,854.42,1012.38,1084.18,1145.21,1188.29
360,468,604.8,856.8,1015.2,1087.2,1148.4,1191.6
361,469.3,606.48,859.18,1018.02,1090.22,1151.59,1194.91
362,470.6,608.16,861.56,1020.84,1093.24,1154.78,1198.22
363,471.9,609.84,863.94,1023.66,1096.26,1157.97,1201.53
364,473.2,611.52,866.32,1026.48,1099.28,1161.16,1204.84
365,474.5,613.2,868.7,1029.3,1102.3,1164.35,1208.15
366,475.8,614.88,871.08,1032.12,1105.32,1167.54,1211.46
367,477.1,616.56,873.46,1034.94,1108.34,1170.73,1214.77
368,478.4,618.24,875.84,1037.76,1111.36,1173.92,1218.08
369,479.7,619.92,878.22,1040.58,1114.38,1177.11,1221.39
370,481,621.6,880.6,1043.4,1117.4,1180.3,1224.7
371,482.3,623.28,882.98,1046.22,1120.42,1183.49,1228.01
372,483.6,624.96,885.36,1049.04,1123.44,1186.68,1231.32
373,484.9,626.64,887.74,1051.86,1126.46,1189.87,1234.63
374,486.2,628.32,890.12,1054.68,1129.48,1193.06,1237.94
375,487.5,630,892.5,1057.5,1132.5,1196.25,1241.25
376,488.8,631.68,894.88,1060.32,1135.52,1199.44,1244.56
377,490.1,633.36,897.26,1063.14,1138.54,1202.63,1247.87
378,491.4,635.04,899.64,1065.96,1141.56,1205.82,1251.18
379,492.7,636.72,902.02,1068.78,1144.58,1209.01,1254.49
380,494,638.4,904.4,1071.6,1147.6,1212.2,1257.8
381,495.3,640.08,906.78,1074.42,1150.62,1215.39,1261.11
382,496.6,641.76,909.16,1077.24,1153.64,1218.58,1264.42
383,497.9,643.44,911.54,1080.06,1156.66,1221.77,1267.73
384,499.2,645.12,913.92,1082.88,1159.68,1224.96,1271.04
385,500.5,646.8,916.3,1085.7,1162.7,1228.15,1274.35
386,501.8,648.48,918.68,1088.52,1165.72,1231.34,1277.66
387,503.1,650.16,921.06,1091.34,1168.74,1234.53,1280.97
388,504.4,651.84,923.44,1094.16,1171.76,1237.72,1284.28
389,505.7,653.52,925.82,1096.98,1174.78,1240.91,1287.59
390,507,655.2,928.2,1099.8,1177.8,1244.1,1290.9
391,508.3,656.88,930.58,1102.62,1180.82,1247.29,1294.21
392,509.6,658.56,932.96,1105.44,1183.84,1250.48,1297.52
393,510.9,660.24,935.34,1108.26,1186.86,1253.67,1300.83
394,512.2,661.92,937.72,1111.08,1189.88,1256.86,1304.14
395,513.5,663.6,940.1,1113.9,1192.9,1260.05,1307.45
396,514.8,665.28,942.48,1116.72,1195.92,1263.24,1310.76
397,516.1,666.96,944.86,1119.54,1198.94,1266.43,1314.07
398,517.4,668.64,947.24,1122.36,1201.96,1269.62,1317.38
399,518.7,670.32,949.62,1125.18,1204.98,1272.81,1320.69
400,520,672,952,1128,1208,1276,1324
