weight	local	1	2	3	4	5	6	7	8
1	3.85	3.85	3.85	3.85	3.85	3.85	3.85	3.85	3.85
2	3.95	3.95	3.95	3.95	4.55	4.90	5.05	5.40	5.75
3	4.75	4.75	4.75	4.75	6.05	6.85	7.15	7.85	8.55
4	5.30	5.30	5.30	5.30	7.05	8.05	8.50	9.45	10.35
5	5.85	5.85	5.85	5.85	8.00	9.30	9.85	11.00	12.15
6	6.30	6.30	6.30	6.30	8.85	9.90	10.05	11.30	12.30
7	6.80	6.80	6.80	6.80	9.80	10.65	11.00	12.55	14.05
8	7.35	7.35	7.35	7.35	10.75	11.45	11.95	13.80	15.75
9	7.90	7.90	7.90	7.90	11.70	12.20	12.90	15.05	17.50
10	8.40	8.40	8.40	8.40	12.60	13.00	14.00	16.30	19.20
11	8.95	8.95	8.95	8.95	13.35	13.75	15.15	17.55	20.90
12	9.50	9.50	9.50	9.50	14.05	14.50	16.30	18.80	22.65
13	10.00	10.00	10.00	10.00	14.75	15.30	17.50	20.05	24.35
14	10.55	10.55	10.55	10.55	15.45	16.05	18.60	21.25	26.05
15	11.05	11.05	11.05	11.05	16.20	16.85	19.75	22.50	27.80
16	11.60	11.60	11.60	11.60	16.90	17.60	20.85	23.75	29.50
17	12.15	12.15	12.15	12.15	17.60	18.35	22.05	25.00	31.20
18	12.65	12.65	12.65	12.65	18.30	19.30	23.15	26.25	32.95
19	13.20	13.20	13.20	13.20	19.00	20.20	24.30	27.50	34.65
20	13.75	13.75	13.75	13.75	19.75	21.15	25.35	28.75	36.40
21	14.25	14.25	14.25	14.25	20.45	22.05	26.55	30.00	38.10
22	14.80	14.80	14.80	14.80	21.15	22.95	27.65	31.20	39.80
23	15.30	15.30	15.30	15.30	21.85	23.90	28.80	32.45	41.55
24	15.85	15.85	15.85	15.85	22.55	24.85	29.90	33.70	43.25
25	16.40	16.40	16.40	16.40	23.30	25.75	31.10	34.95	44.95
26	16.90	16.90	16.90	16.90	24.00	26.60	32.25	36.20	46.70
27	17.45	17.45	17.45	17.45	24.70	27.55	33.35	37.45	48.40
28	18.00	18.00	18.00	18.00	25.40	28.50	34.50	38.70	50.15
29	18.50	18.50	18.50	18.50	26.15	29.45	35.60	39.95	51.85
30	19.05	19.05	19.05	19.05	26.85	30.35	36.80	41.20	53.55
31	19.55	19.55	19.55	19.55	27.55	31.20	37.85	42.40	55.30
32	20.10	20.10	20.10	20.10	28.25	32.15	39.00	43.65	57.00
33	20.65	20.65	20.65	20.65	28.95	33.10	40.10	44.90	58.70
34	21.15	21.15	21.15	21.15	29.70	34.00	41.25	46.15	60.45
35	21.70	21.70	21.70	21.70	30.40	34.95	42.40	47.40	62.15
36	22.25	22.25	22.25	22.25	31.10	35.85	43.55	48.65	63.85
37	22.75	22.75	22.75	22.75	31.95	36.80	44.65	49.90	65.60
38	23.30	23.30	23.30	23.30	32.65	37.70	45.85	51.15	67.30
39	23.75	23.75	23.75	23.75	33.50	38.65	47.00	52.40	69.05
40	24.25	24.25	24.25	24.25	34.30	39.60	48.10	53.60	70.75
41	24.70	24.70	24.70	24.70	35.00	40.45	49.25	54.85	72.45
42	25.20	25.20	25.20	25.20	35.85	41.35	50.30	56.15	74.20
43	25.65	25.65	25.65	25.65	36.60	42.30	51.50	57.40	75.90
44	26.15	26.15	26.15	26.15	37.40	43.25	52.60	58.70	77.60
45	26.60	26.60	26.60	26.60	38.20	44.15	53.75	59.95	79.35
46	27.10	27.10	27.10	27.10	39.00	45.05	54.85	61.20	81.05
47	27.55	27.55	27.55	27.55	39.75	46.00	56.05	62.50	82.75
48	28.05	28.05	28.05	28.05	40.60	46.95	57.20	63.75	84.50
49	28.50	28.50	28.50	28.50	41.35	47.80	58.30	65.05	86.20
50	28.95	28.95	28.95	28.95	42.15	48.75	59.45	66.30	87.95
51	29.45	29.45	29.45	29.45	42.95	49.65	60.55	67.55	89.65
52	29.90	29.90	29.90	29.90	43.75	50.60	61.75	68.80	91.35
53	30.40	30.40	30.40	30.40	44.50	51.50	62.85	70.05	93.10
54	30.85	30.85	30.85	30.85	45.25	52.45	63.95	71.30	94.80
55	31.35	31.35	31.35	31.35	46.10	53.40	65.05	72.50	96.50
56	31.80	31.80	31.80	31.80	46.85	54.25	66.25	73.75	98.25
57	32.30	32.30	32.30	32.30	47.65	55.15	67.35	75.00	99.95
58	32.75	32.75	32.75	32.75	48.45	56.10	68.50	76.25	101.65
59	33.25	33.25	33.25	33.25	49.25	57.05	69.60	77.50	103.40
60	33.70	33.70	33.70	33.70	50.00	58.00	70.80	78.75	105.10
61	34.20	34.20	34.20	34.20	50.85	58.85	71.95	80.00	106.85
62	34.65	34.65	34.65	34.65	51.55	59.80	73.05	81.25	108.55
63	35.15	35.15	35.15	35.15	52.40	60.75	74.20	82.50	110.25
64	35.60	35.60	35.60	35.60	53.20	61.70	75.35	83.70	112.00
65	36.10	36.10	36.10	36.10	53.90	62.50	76.45	84.95	113.70
66	36.55	36.55	36.55	36.55	54.75	63.45	77.55	86.20	115.40
67	37.05	37.05	37.05	37.05	55.60	64.40	78.70	87.45	117.15
68	37.50	37.50	37.50	37.50	56.30	65.35	79.80	88.70	118.85
69	38.00	38.00	38.00	38.00	57.10	66.25	81.00	89.95	120.55
70	38.45	38.45	38.45	38.45	57.95	67.15	82.10	91.20	122.30
