weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12	zone13
1	13.25	13.00	16.00	16.25	15.25	14.00	16.50	12.50	14.50	16.00	18.00	14.00	17.00
2	13.25	15.50	20.00	20.50	19.75	15.50	19.00	16.00	18.75	18.50	22.00	15.50	19.00
3	14.25	17.75	24.00	24.50	24.50	17.50	21.75	20.00	23.25	21.50	26.00	17.25	22.00
4	15.50	20.25	28.00	29.00	29.75	20.25	24.50	24.25	26.75	24.00	30.00	19.25	25.00
5	16.75	23.00	32.00	33.50	35.00	22.75	27.25	28.75	32.75	26.50	34.00	21.25	28.00
6	17.85	25.00	35.00	36.80	39.25	25.65	30.25	32.65	36.50	29.50	37.50	23.75	31.25
7	18.95	27.00	38.00	40.10	43.50	28.55	33.25	36.55	40.40	32.50	41.00	26.25	34.50
8	20.05	29.00	41.00	43.40	47.75	31.45	36.25	40.45	44.30	35.50	44.50	28.75	37.75
9	21.15	31.00	44.00	46.70	52.00	34.35	39.25	44.35	48.20	38.50	48.00	31.25	41.00
10	22.25	33.00	47.00	50.00	56.25	37.25	42.25	48.25	52.10	41.50	51.50	33.75	44.25
11	23.35	35.00	50.00	53.30	60.50	40.15	45.25	52.15	56.00	44.50	55.00	36.25	47.50
12	24.45	37.00	53.00	56.60	64.75	43.05	48.25	56.05	59.90	47.50	58.50	38.75	50.75
13	25.55	39.00	56.00	59.90	69.00	45.95	51.25	59.95	63.80	50.50	62.00	41.25	54.00
14	26.65	41.00	59.00	63.20	73.25	48.85	54.25	63.85	67.70	53.50	65.50	43.75	57.25
15	27.75	43.00	62.00	66.50	77.50	51.75	57.25	67.75	71.60	56.50	69.00	46.25	60.50
16	28.85	45.00	65.00	69.80	81.75	54.65	60.25	71.65	75.50	59.50	72.50	48.75	63.75
17	29.95	47.00	68.00	73.10	86.00	57.55	63.25	75.55	79.40	62.50	76.00	51.25	67.00
18	31.05	49.00	71.00	76.40	90.25	60.45	66.25	79.45	83.30	65.50	79.50	53.75	70.25
19	32.15	51.00	74.00	79.70	94.50	63.35	69.25	83.35	87.20	68.50	83.00	56.25	73.50
20	33.25	53.00	77.00	83.00	98.75	66.25	72.25	87.25	91.10	71.50	86.50	58.75	76.75
21	34.35	55.00	80.00	86.30	103.00	69.15	75.25	91.15	95.00	74.50	90.00	61.25	80.00
22	35.45	57.00	83.00	89.60	107.25	72.05	78.25	95.05	98.90	77.50	93.50	63.75	83.25
