weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12
0.5	16.25	17.75	21.00	18.25	20.00	18.00	24.25	18.00	20.00	24.00	30.00	23.50
1	17.15	21.10	26.10	22.55	24.00	20.20	27.40	21.60	23.20	26.60	32.95	26.10
2	17.90	25.00	30.30	26.85	27.45	22.80	30.55	25.30	27.40	29.80	37.40	29.50
3	19.25	29.10	34.50	31.15	32.15	26.30	33.75	29.50	31.60	34.25	42.70	33.75
4	20.30	32.80	37.70	35.45	36.80	29.65	36.90	33.75	36.90	38.45	47.15	37.95
5	21.60	36.05	40.85	39.45	41.30	33.55	40.05	37.95	42.15	42.95	52.45	42.15
6	24.00	38.35	44.00	43.00	45.80	36.85	43.40	42.35	47.05	47.45	57.45	46.40
7	26.35	40.70	47.15	46.55	50.30	40.10	46.80	46.80	51.95	51.90	62.45	50.60
8	28.70	43.00	50.35	50.10	54.75	43.35	50.15	51.20	56.85	56.40	67.45	54.80
9	31.10	45.30	53.50	53.65	59.25	46.65	53.55	55.65	61.75	60.85	72.45	59.00
10	33.45	47.65	56.65	57.20	63.70	49.90	56.90	60.10	66.65	65.35	77.45	63.25
11	35.85	49.95	59.80	60.75	68.20	53.15	60.30	64.50	71.55	69.85	82.50	67.45
12	38.20	52.30	63.00	64.30	72.65	56.45	63.65	68.95	76.45	74.30	87.50	71.65
13	40.60	54.60	66.15	67.80	77.15	59.70	67.05	73.35	81.35	78.80	92.50	75.90
14	42.95	56.90	69.30	71.35	81.65	63.00	70.40	77.80	86.25	83.25	97.50	80.10
15	45.30	59.25	72.45	74.90	86.10	66.25	73.80	82.20	91.15	87.75	102.50	84.30
16	47.70	61.55	75.60	78.45	90.60	69.50	77.15	86.65	96.05	92.25	107.50	88.55
17	50.05	63.85	78.80	82.00	95.05	72.80	80.55	91.05	100.95	96.70	112.50	92.75
18	52.45	66.20	81.95	85.55	99.55	76.05	83.90	95.50	105.85	101.20	117.50	96.95
19	54.80	68.50	85.10	89.10	104.05	79.30	87.25	99.90	110.80	105.65	122.55	101.20
20	57.20	70.85	88.25	92.65	108.50	82.60	90.65	104.35	115.70	110.15	127.55	105.40
21	59.55	73.15	91.45	96.20	113.00	85.85	94.00	108.75	120.60	114.60	132.55	109.60
