weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12
1	15.25	19.50	23	23.25	21.25	18.25	22	21.50	28.75	21.75	26.25	20.25
2	15.25	19.50	23	23.25	21.25	18.25	22	21.50	28.75	21.75	26.25	20.25
3	15.25	19.50	23	23.25	21.25	18.25	22	21.50	28.75	21.75	26.25	20.25
4	15.25	19.50	23	23.25	21.25	18.25	22	21.50	28.75	21.75	26.25	20.25
5	15.25	19.50	23	23.25	21.25	18.25	22	21.50	28.75	21.75	26.25	20.25
6	15.75	20.75	25	25	22.75	19.35	24	22.80	30.95	23.50	28.75	22.00
7	16.50	22	27	26.25	24.25	20.45	26	24.10	33.15	25	31	23.75
8	17.25	23	29	27.75	25.75	21.55	28	25.40	35.35	26.75	33.25	25.50
9	17.75	24	31	29	27.25	22.65	30	26.70	37.55	29	35.50	27.25
10	18.25	24.75	32.75	30.25	28.75	23.75	32	28.10	39.75	32	37.75	28.90
11	18.70	25.50	34.45	31.30	30	24.70	33.60	29.40	41.65	33.40	39.80	30.55
12	19.15	26.25	36.15	32.35	31.25	25.65	35.20	30.70	43.55	34.80	41.85	32.20
13	19.60	27	37.85	33.40	32.50	26.60	36.80	32	45.45	36.20	43.90	33.85
14	20.05	27.75	39.55	34.45	33.75	27.55	38.40	33.30	47.35	37.60	45.95	35.50
15	20.50	28.50	41.25	35.50	35	28.50	40	34.60	49.25	39	48	37.15
16	20.95	29.25	42.95	36.55	36.25	29.45	41.60	35.90	51.15	40.40	50.05	38.80
17	21.40	30	44.65	37.60	37.50	30.40	43.20	37.20	53.05	41.80	52.10	40.45
18	21.85	30.75	46.35	38.65	38.75	31.35	44.80	38.50	54.95	43.20	54.15	42.10
19	22.30	31.50	48.05	39.70	40	32.30	46.40	39.80	56.85	44.60	56.20	43.75
20	22.75	32.25	49.75	40.75	41.25	33.25	48	41.10	58.75	46	58.25	45.40
21	23.30	32.95	51.35	41.70	42.40	34.15	49.60	42.40	60.45	47.25	60.15	46.85
22	23.85	33.65	52.95	42.65	43.55	35.05	51.20	43.70	62.15	48.50	62.05	48.30
23	24.40	34.35	54.55	43.60	44.70	35.95	52.80	45	63.85	49.75	63.95	49.75
24	24.95	35.05	56.15	44.55	45.85	36.85	54.40	46.30	65.55	51	65.85	51.20
25	25.50	35.75	57.75	45.50	47	37.75	56	47.60	67.25	52.25	67.75	52.65
26	26.05	36.45	59.35	46.45	48.15	38.65	57.60	48.90	68.95	53.50	69.65	54.10
27	26.60	37.15	60.95	47.40	49.30	39.55	59.20	50.20	70.65	54.75	71.55	55.55
28	27.15	37.85	62.55	48.35	50.45	40.45	60.80	51.50	72.35	56	73.45	57.00
29	27.70	38.55	64.15	49.30	51.60	41.35	62.40	52.80	74.05	57.25	75.35	58.45
30	28.25	39.25	65.75	50.25	52.75	42.25	64	54.10	75.75	58.50	77.25	59.90
31	28.80	39.95	67.25	51.15	53.85	43.10	65.50	55.40	77.40	59.75	79	61.30
32	29.35	40.65	68.75	52.05	54.95	43.95	67	56.70	79.05	61	80.75	62.70
33	29.90	41.35	70.25	52.95	56.05	44.80	68.50	58	80.70	62.25	82.50	64.10
34	30.45	42.05	71.75	53.85	57.15	45.65	70	59.30	82.35	63.50	84.25	65.50
35	31	42.75	73.25	54.75	58.25	46.50	71.50	60.60	84	64.75	86	66.90
