code	parent_fld	mgroup	msort	page	form	name	description	inactive	extended	next_line	indicator	exclude_on	depends_on	super	help_name	img_dn	img_up	img_sel	img_icon	url	member
1	catalog/top	catalog/top	0	index		HOME	The home page of this catalog	0													
2	catalog/top	catalog/top	0	login		LOG IN	Sign on!	0													0
3	catalog/top	catalog/top	0	logout		LOG OUT	Log out, remove your login cookie	0													1
4	3	catalog/top	1	logout	keep_values=1	Log out and keep name/address		0													
5	catalog/top	catalog/top	0	ord/basket		YOUR CART		0													
6	5	catalog/top	1	ord/basket		View cart		0													
7	5	catalog/top	1	ord/basket	empty_cart=1	Empty cart		0													
8	catalog/top	catalog/top	0	ord/multi		CHECK OUT	Place the order...	0					1								
9	8	catalog/top	1	ord/checkout		Express	Simple one-page checkout form	0					1								
10	8	catalog/top	1	ord/multi		Multi-page	Multiple page checkout	0					1								
11	10	catalog/top	2	ord/country		Select country		0					1								
12	10	catalog/top	2	ord/shipping		Shipping Address		0					1								
13	10	catalog/top	2	ord/billing		Billing Address (if different)		0					1								
14	10	catalog/top	2	ord/shipmode		Shipping selection		0					1								
15	10	catalog/top	2	ord/finalize		Payment Information		0					1								
16	catalog/top	catalog/top	0	member/service		SERVICE	Track orders, do returns, manage name/address, more	0													1
17	16	catalog/top	1	query/check_orders		Order Tracking		0													1
18	16	catalog/top	1	member/returns		Order Returns	Get an RMA number for an order	0													1
19	16	catalog/top	1	member/account		Account Maintenance	Change name, address, email, etc.	0													1
20	16	catalog/top	1	change_password		Change Password		0													1
21	16	catalog/top	1	member/ship_addresses		Additional Shipping Addresses		0													1
22	16	catalog/top	1	member/saved_carts		Saved Carts/Recurring Orders		0													1
23	catalog/top	catalog/top	0	aboutus		ABOUT US	More information on our company	0													
24	23	catalog/top	1	aboutus		Our Story		0													
25	23	catalog/top	1	contact		Contact us		0													
26	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/tf=category,description		Hand Tools		0													
27	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Brushes/op=eq/tf=description		Brushes		0													
28	27	Products	2	os28009		Brush Set		0													
29	27	Products	2	os28108		Hand Brush		0													
30	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hammers/op=eq/tf=description		Hammers		0													
31	30	Products	2	os28044		Framing Hammer		0													
32	30	Products	2	os28073		Mini-Sledge		0													
33	30	Products	2	os28075		Modeling Hammer		0													
34	30	Products	2	os28074		Rubber Mallet		0													
35	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hand Planes/op=eq/tf=description		Hand Planes		0													
36	35	Products	2	os28080		The Blade Hand Planer		0													
37	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Hand Saws/op=eq/tf=description		Hand Saws		0													
38	37	Products	2	os28072		Deluxe Hand Saw		0													
39	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Picks & Hatchets/op=eq/tf=description		Picks & Hatchets		0													
40	39	Products	2	os28076		Digger Hand Trencher		0													
41	39	Products	2	os28113		The Claw Hand Rake		0													
42	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Pliers/op=eq/tf=description		Pliers		0													
43	42	Products	2	os28062		Electricians Plier Set		0													
44	42	Products	2	os28065		Mechanics Pliers		0													
45	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Shears/op=eq/tf=description		Shears		0													
46	45	Products	2	os28111		Hedge Shears		0													
47	45	Products	2	os28110		Mighty Mouse Tin Snips		0													
48	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Shovels/op=eq/tf=description		Shovels		0													
49	48	Products	2	os28112		Garden Shovel		0													
50	48	Products	2	os28109		Mini-Spade		0													
51	26	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hand Tools/op=eq/sf=category/se=Wrenches/op=eq/tf=description		Wrenches		0													
52	51	Products	2	os28064		Mechanics Wrench Set		0													
53	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Hardware/op=eq/tf=category,description		Hardware		0													
54	53	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Hardware/op=eq/sf=category/se=Nails/op=eq/tf=description		Nails		0													
55	54	Products	2	os28057c		10 Penny Nails		0													
56	54	Products	2	os28057a		16 Penny Nails		0													
57	54	Products	2	os28057b		8 Penny Nails		0													
58	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/tf=category,description		Ladders		0													
59	58	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/sf=category/se=Ladders/op=eq/tf=description		Ladders		0													
60	59	Products	2	os28085		Big A A-Frame Ladder		0													
61	59	Products	2	os28008		Painters Ladder		0													
62	58	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Ladders/op=eq/sf=category/se=Step Stools/op=eq/tf=description		Step Stools		0													
63	62	Products	2	os29000		3' Step Ladder		0													
64	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/tf=category,description		Measuring Tools		0													
65	64	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Levels/op=eq/tf=description		Levels		0													
66	65	Products	2	os28082		24" Level		0													
67	64	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Rulers/op=eq/tf=description		Rulers		0													
68	67	Products	2	os28086		Folding Ruler		0													
69	64	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Squares/op=eq/tf=description		Squares		0													
70	69	Products	2	os28066		Big L Carpenters Square		0													
71	64	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Measuring Tools/op=eq/sf=category/se=Tape Measures/op=eq/tf=description		Tape Measures		0													
72	71	Products	2	os28084		Tape Measure		0													
73	Products	Products	0	scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/tf=category,description		Painting Supplies		0													
74	73	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Paintbrushes/op=eq/tf=description		Paintbrushes		0													
75	74	Products	2	os28007		Disposable Brush Set		0													
76	74	Products	2	os28006		Painters Brush Set		0													
77	74	Products	2	os28005		Trim Brush		0													
78	73	Products	1	scan/co=yes/fi=products/sf=prod_group/se=Painting Supplies/op=eq/sf=category/se=Putty Knives/op=eq/tf=description		Putty Knives		0													
79	78	Products	2	os28011		Spackling Knife		0													
