WeightNotToExceed,132,133,134,135,136,137,138,res
Letter,11,12.5,13.75,14.25,14.75,15,15.5,1.15
1,12.75,15.75,19.25,21,22.25,23,24,1.15
2,14,16.75,21.25,23,24.5,25.75,27,1.15
3,14.75,17.75,23.25,24.75,27,28.5,29.75,1.15
4,15.75,19,25,27,29.75,31.25,32.25,1.15
5,16.5,20,27.25,29,32.5,34,34.75,1.15
6,17.25,21,29.5,32,35.25,36.5,37,1.15
7,17.75,22,32,34.5,38,39.25,39.75,1.15
8,18.5,22.75,34.25,37,40.5,41.75,42.5,1.15
9,19.25,23.75,36.5,39.25,43,44.5,45,1.15
10,20,25,38.75,41.5,45.5,47,47.5,1.15
11,20.5,26.25,40.75,43.5,48,49.25,50,1.15
12,21.25,27.5,42.75,45.75,50.5,51.5,52.5,1.15
13,22,28.5,44.75,48,52.75,53.75,55,1.15
14,22.75,29.5,46.5,50,54.75,55.75,57.75,1.15
15,23.5,30.5,48,52,56.5,57.75,60.25,1.15
16,24,31.25,49.25,53.5,58,59.25,62,1.15
17,24.5,32,50.5,55,59.5,60.75,63.75,1.15
18,25.25,32.75,51.75,56.5,61.25,62.5,65.25,1.15
19,26,33.5,53.25,58,62.75,64.25,66.75,1.15
20,26.75,34.25,54.75,59.5,64,65.75,68.25,1.15
21,27.5,35.25,56.5,61,65.5,67.25,70,1.15
22,28.25,36,58,62.5,67,68.75,71.5,1.15
23,28.75,36.75,59.5,64,68.5,70.5,73.25,1.15
24,29.5,37.5,61,65.5,70.25,72.25,75,1.15
25,30.25,38.5,62.5,67.25,72,74,76.75,1.15
26,31,39.25,64,69,73.75,75.75,78.5,1.15
27,31.5,40,65.5,70.75,75.5,77.5,80.25,1.15
28,32.25,40.75,67.25,72.5,77.25,79.25,82,1.15
29,33,41.5,68.75,74,79,81,83.75,1.15
30,33.5,42.25,70.25,75.5,80.75,82.75,85.5,1.15
31,34.25,43,72,77.25,82.5,84.5,87.25,1.15
32,35,44,73.75,79,84.25,86.25,89,1.15
33,35.75,45,75.5,80.75,86,88,90.75,1.15
34,36.5,46,77.25,82.5,87.75,89.75,92.75,1.15
35,37.25,46.75,79,84.25,89.5,91.5,94.75,1.15
36,38,47.5,80.5,86,91.5,93.25,96.75,1.15
37,38.75,48.5,82,87.75,93.5,95,98.75,1.15
38,39.5,49.5,83.5,89.5,95.5,97,100.75,1.15
39,40.25,50.5,85,91.25,97.5,99,102.75,1.15
40,41,51.25,86.5,93,99.5,101,104.75,1.15
41,41.5,52,88.25,94.75,101.5,103,106.75,1.15
42,42.25,52.75,90,96.5,103.5,105,108.75,1.15
43,43,53.75,91.75,98.25,105.5,107,110.75,1.15
44,43.75,54.75,93.5,100,107.5,109,112.75,1.15
45,44.5,55.75,95.25,101.75,109.25,111,114.75,1.15
46,45.25,57,96.75,103.5,111,113,116.75,1.15
47,46.25,58.25,98.25,105.25,112.75,114.75,118.75,1.15
48,47,59.25,99.75,107,114.5,116.5,120.75,1.15
49,47.75,60.25,101.5,108.75,116.25,118.25,122.75,1.15
50,48.5,61.25,103.25,110.5,118,120.25,124.75,1.15
51,49.25,62.25,104.75,112,120,122.25,126.75,1.15
52,50,63.25,106.25,113.5,122,124.25,128.75,1.15
53,51,64.5,107.75,115,124,126.5,130.75,1.15
54,52,65.75,109.25,116.5,126,128.75,133,1.15
55,52.75,67.25,110.75,118,128,131,135.25,1.15
56,53.75,68.75,112.25,119.75,130,133.25,137.5,1.15
57,54.75,70.25,114,121.5,132,135.5,139.75,1.15
58,55.75,71.75,115.75,123.25,134,137.75,142,1.15
59,57,73.25,117.5,125.25,136,140,144.25,1.15
60,58,74.75,119.25,127.25,138,142.5,146.75,1.15
61,59,76.25,121,129.25,140.25,145,149.5,1.15
62,60,77.75,123,131.25,142.5,147.5,152.25,1.15
63,61.25,79.25,125,133.25,144.75,150,155,1.15
64,62.5,80.75,127,135.5,147,152.5,157.75,1.15
65,63.5,82.25,129,137.75,149.25,155,160.5,1.15
66,64.5,83.75,131,140,151.75,157.5,163.25,1.15
67,65.75,85.25,133,142.25,154.25,160,166,1.15
68,67,86.75,135,144.5,156.75,162.5,168.75,1.15
69,68.25,88.25,137,146.75,159.25,165,171.5,1.15
70,69.5,89.75,139,149,161.75,167.5,174.25,1.15
71,70.75,91.25,141,151.25,164.25,170.25,177,1.15
72,72,93,143,153.5,166.75,173,179.75,1.15
73,73,94.75,145,155.75,169.25,175.75,182.75,1.15
74,74.25,96.5,147.25,158,171.75,178.5,185.75,1.15
75,75.5,98.25,149.5,160.25,174.25,181.25,188.75,1.15
76,77,100,151.75,162.5,176.75,184,191.5,1.15
77,78.25,101.75,154,164.75,179,186.75,194.25,1.15
78,79.5,103.5,156.25,167,181.25,189.5,197,1.15
79,80.5,105.25,158.75,169.5,183.75,192.25,199.75,1.15
80,81.75,107,161.25,172,186.25,195,202.5,1.15
81,83,108.75,163.75,174.5,188.75,197.5,205.25,1.15
82,84.5,110.5,166.25,177,191.25,200,208,1.15
83,85.75,112.25,168.75,179.5,193.75,202.5,210.5,1.15
84,87,114,171,182,196.25,205,213,1.15
85,88.25,115.75,173.25,184.5,198.75,207.5,215.5,1.15
86,89.25,117.5,175.5,186.75,201.25,210,218,1.15
87,90.25,119.25,177.75,189,203.75,212.5,220.5,1.15
88,91.25,121,180,191.25,206.25,215,223,1.15
89,92.5,122.75,182,193.5,208.75,217.5,225.5,1.15
