zip,surcharge,country
01005,1.75,US
01007,1.75,US
01008,1.75,US
01010,1.75,US
01011,1.75,US
01012,1.75,US
01026,1.75,US
01029,1.75,US
01031,1.75,US
01032,1.75,US
01033,1.75,US
01034,1.75,US
01035,1.75,US
01037,1.75,US
01038,1.75,US
01039,1.75,US
01050,1.75,US
01054,1.75,US
01057,1.75,US
01066,1.75,US
01068,1.75,US
01070,1.75,US
01071,1.75,US
01072,1.75,US
01073,1.75,US
01074,1.75,US
01081,1.75,US
01083,1.75,US
01084,1.75,US
01088,1.75,US
01092,1.75,US
01093,1.75,US
01094,1.75,US
01096,1.75,US
01098,1.75,US
01223,1.75,US
01225,1.75,US
01229,1.75,US
01230,1.75,US
01235,1.75,US
01237,1.75,US
01238,1.75,US
01242,1.75,US
01243,1.75,US
01244,1.75,US
01245,1.75,US
01252,1.75,US
01253,1.75,US
01254,1.75,US
01255,1.75,US
01256,1.75,US
01257,1.75,US
01258,1.75,US
01259,1.75,US
01260,1.75,US
01262,1.75,US
01263,1.75,US
01264,1.75,US
01266,1.75,US
01267,1.75,US
01270,1.75,US
01330,1.75,US
01331,1.75,US
01337,1.75,US
01338,1.75,US
01339,1.75,US
01340,1.75,US
01341,1.75,US
01342,1.75,US
01343,1.75,US
01344,1.75,US
01346,1.75,US
01347,1.75,US
01349,1.75,US
01350,1.75,US
01351,1.75,US
01355,1.75,US
01360,1.75,US
01364,1.75,US
01366,1.75,US
01367,1.75,US
01368,1.75,US
01370,1.75,US
01373,1.75,US
01378,1.75,US
01379,1.75,US
01380,1.75,US
01430,1.75,US
01431,1.75,US
01438,1.75,US
01452,1.75,US
01468,1.75,US
01473,1.75,US
01474,1.75,US
01475,1.75,US
01477,1.75,US
01503,1.75,US
01505,1.75,US
01506,1.75,US
01507,1.75,US
01508,1.75,US
01509,1.75,US
01516,1.75,US
01517,1.75,US
01521,1.75,US
01522,1.75,US
01523,1.75,US
01526,1.75,US
01531,1.75,US
01535,1.75,US
01541,1.75,US
01543,1.75,US
01561,1.75,US
01585,1.75,US
01590,1.75,US
01740,1.75,US
01827,1.75,US
02367,1.75,US
02534,1.75,US
02535,1.75,US
02539,1.75,US
02542,1.75,US
02552,1.75,US
02554,1.75,US
02561,1.75,US
02562,1.75,US
02564,1.75,US
02575,1.75,US
02584,1.75,US
02642,1.75,US
02643,1.75,US
02651,1.75,US
02652,1.75,US
02653,1.75,US
02662,1.75,US
02663,1.75,US
02666,1.75,US
02667,1.75,US
02668,1.75,US
02713,1.75,US
02717,1.75,US
02769,1.75,US
02770,1.75,US
02801,1.75,US
02804,1.75,US
02807,1.75,US
02812,1.75,US
02813,1.75,US
02814,1.75,US
02817,1.75,US
02822,1.75,US
02825,1.75,US
02827,1.75,US
02829,1.75,US
02832,1.75,US
02833,1.75,US
02837,1.75,US
02857,1.75,US
02872,1.75,US
02873,1.75,US
02875,1.75,US
02877,1.75,US
02892,1.75,US
02894,1.75,US
02898,1.75,US
03032,1.75,US
03033,1.75,US
03034,1.75,US
03036,1.75,US
03037,1.75,US
03040,1.75,US
03042,1.75,US
03043,1.75,US
03044,1.75,US
03045,1.75,US
03046,1.75,US
03047,1.75,US
03048,1.75,US
03057,1.75,US
03070,1.75,US
03071,1.75,US
03082,1.75,US
03084,1.75,US
03086,1.75,US
03215,1.75,US
03216,1.75,US
03217,1.75,US
03218,1.75,US
03220,1.75,US
03221,1.75,US
03222,1.75,US
03223,1.75,US
03224,1.75,US
03225,1.75,US
03226,1.75,US
03227,1.75,US
03229,1.75,US
03230,1.75,US
03231,1.75,US
03232,1.75,US
03233,1.75,US
03234,1.75,US
03237,1.75,US
03238,1.75,US
03240,1.75,US
03241,1.75,US
03242,1.75,US
03243,1.75,US
03244,1.75,US
03245,1.75,US
03251,1.75,US
03252,1.75,US
03253,1.75,US
03254,1.75,US
03255,1.75,US
03256,1.75,US
03257,1.75,US
03258,1.75,US
03259,1.75,US
03260,1.75,US
03261,1.75,US
03262,1.75,US
03263,1.75,US
03264,1.75,US
03266,1.75,US
03268,1.75,US
03269,1.75,US
03272,1.75,US
03273,1.75,US
03274,1.75,US
03276,1.75,US
03278,1.75,US
03279,1.75,US
03280,1.75,US
03281,1.75,US
03282,1.75,US
03284,1.75,US
03287,1.75,US
03289,1.75,US
03290,1.75,US
03291,1.75,US
03293,1.75,US
03298,1.75,US
03299,1.75,US
03303,1.75,US
03304,1.75,US
03440,1.75,US
03441,1.75,US
03442,1.75,US
03443,1.75,US
03444,1.75,US
03445,1.75,US
03446,1.75,US
03447,1.75,US
03448,1.75,US
03449,1.75,US
03450,1.75,US
03451,1.75,US
03452,1.75,US
03455,1.75,US
03456,1.75,US
03457,1.75,US
03458,1.75,US
03461,1.75,US
03462,1.75,US
03464,1.75,US
03465,1.75,US
03466,1.75,US
03467,1.75,US
03468,1.75,US
03469,1.75,US
03470,1.75,US
03561,1.75,US
03570,1.75,US
03574,1.75,US
03575,1.75,US
03576,1.75,US
03579,1.75,US
03580,1.75,US
03581,1.75,US
03582,1.75,US
03583,1.75,US
03584,1.75,US
03585,1.75,US
03587,1.75,US
03588,1.75,US
03589,1.75,US
03590,1.75,US
03592,1.75,US
03595,1.75,US
03597,1.75,US
03598,1.75,US
03601,1.75,US
03602,1.75,US
03603,1.75,US
03604,1.75,US
03605,1.75,US
03607,1.75,US
03608,1.75,US
03740,1.75,US
03741,1.75,US
03743,1.75,US
03745,1.75,US
03746,1.75,US
03748,1.75,US
03749,1.75,US
03750,1.75,US
03751,1.75,US
03752,1.75,US
03753,1.75,US
03754,1.75,US
03765,1.75,US
03768,1.75,US
03769,1.75,US
03770,1.75,US
03771,1.75,US
03773,1.75,US
03774,1.75,US
03777,1.75,US
03779,1.75,US
03780,1.75,US
03781,1.75,US
03782,1.75,US
03785,1.75,US
03809,1.75,US
03812,1.75,US
03813,1.75,US
03814,1.75,US
03815,1.75,US
03816,1.75,US
03817,1.75,US
03818,1.75,US
03825,1.75,US
03827,1.75,US
03830,1.75,US
03832,1.75,US
