weight	zone1	zone2	zone3	zone4	zone5	zone6	zone7	zone8	zone9	zone10	zone11	zone12	zone13
1	14.00	13.75	16.75	17.25	16.00	14.75	17.50	13.25	15.25	16.75	19.00	14.75	18.00
2	14.00	16.35	21.10	21.60	20.80	16.35	20.05	16.85	19.75	19.50	23.20	16.35	20.05
3	15.00	18.70	25.30	25.80	25.80	18.45	22.90	21.10	24.50	22.65	27.40	18.20	23.20
4	16.35	21.35	29.50	30.55	31.35	21.35	25.80	25.55	28.20	25.30	31.60	20.30	26.35
5	17.65	24.25	33.75	35.30	36.90	24.00	28.70	30.30	34.50	27.95	35.85	22.40	29.50
6	18.80	26.35	36.90	38.80	41.35	27.05	31.90	34.40	38.45	31.10	39.50	25.05	32.95
7	19.95	28.45	40.05	42.25	45.85	30.10	35.05	38.50	42.60	34.25	43.20	27.65	36.35
8	21.15	30.55	43.20	45.75	50.35	33.15	38.20	42.65	46.70	37.40	46.90	30.30	39.80
9	22.30	32.65	46.40	49.20	54.80	36.20	41.35	46.75	50.80	40.60	50.60	32.95	43.20
10	23.45	34.80	49.55	52.70	59.30	39.25	44.55	50.85	54.90	43.75	54.30	35.55	46.65
11	24.60	36.90	52.70	56.20	63.75	42.30	47.70	54.95	59.00	46.90	57.95	38.20	50.05
12	25.75	39.00	55.85	59.65	68.25	45.35	50.85	59.10	63.15	50.05	61.65	40.85	53.50
13	26.95	41.10	59.00	63.15	72.75	48.45	54.00	63.20	67.25	53.25	65.35	43.50	56.90
14	28.10	43.20	62.20	66.60	77.20	51.50	57.20	67.30	71.35	56.40	69.05	46.10	60.35
15	29.25	45.30	65.35	70.10	81.70	54.55	60.35	71.40	75.45	59.55	72.75	48.75	63.75
16	30.40	47.45	68.50	73.55	86.15	57.60	63.50	75.50	79.60	62.70	76.40	51.40	67.20
17	31.55	49.55	71.65	77.05	90.65	60.65	66.65	79.65	83.70	65.90	80.10	54.00	70.60
18	32.75	51.65	74.85	80.55	95.10	63.70	69.85	83.75	87.80	69.05	83.80	56.65	74.05
19	33.90	53.75	78.00	84.00	99.60	66.75	73.00	87.85	91.90	72.20	87.50	59.30	77.45
20	35.05	55.85	81.15	87.50	104.10	69.85	76.15	91.95	96.00	75.35	91.15	61.90	80.90
21	36.20	57.95	84.30	90.95	108.55	72.90	79.30	96.05	100.15	78.50	94.85	64.55	84.30
22	37.35	60.10	87.50	94.45	113.05	75.95	82.50	100.20	104.25	81.70	98.55	67.20	87.75
23	38.50	62.20	90.65	97.90	117.50	79.00	85.65	104.30	108.35	84.85	102.25	69.85	91.15
24	39.70	64.30	93.80	101.40	122.00	82.05	88.80	108.40	112.45	88.00	105.95	72.45	94.60
25	40.85	66.40	96.95	104.85	126.50	85.10	91.95	112.50	116.55	91.15	109.60	75.10	98.00
26	42.00	68.50	100.15	108.35	130.95	88.15	95.10	116.65	120.70	94.35	113.30	77.75	101.45
27	43.15	70.60	103.30	111.85	135.45	91.20	98.30	120.75	124.80	97.50	117.00	80.35	104.85
28	44.30	72.75	106.45	115.30	139.90	94.30	101.45	124.85	128.90	100.65	120.70	83.00	108.30
29	45.50	74.85	109.60	118.80	144.40	97.35	104.60	128.95	133.00	103.80	124.35	85.65	111.70
30	46.65	76.95	112.80	122.25	148.90	100.40	107.75	133.05	137.15	107.00	128.05	88.25	115.15
31	47.80	79.05	115.95	125.75	153.35	103.45	110.95	137.20	141.25	110.15	131.75	90.90	118.60
32	48.95	81.15	119.10	129.20	157.85	106.50	114.10	141.30	145.35	113.30	135.45	93.55	122.00
